"","",""
"Abies","fir","TN(Carter, Sevier)"
"Agrostis","bentgrass","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Campbell, Cannon, Carroll, Carter, Cheatham, Claiborne, Cocke, Coffee, Crockett, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fayette, Fentress, Franklin, Gibson, Grainger, Greene, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Humphreys, Jackson, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Loudon, Macon, Madison, Marion, Maury, McNairy, Meigs, Monroe, Montgomery, Morgan, Obion, Overton, Perry, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Van Buren, Warren, Washington, White, Williamson, Wilson)"
"Agrostis capillaris","colonial bentgrass","TN(Blount, Knox, Sevier, Tipton)"
"Agrostis elliottiana","Elliott's bentgrass","TN(Cheatham, Coffee, Crockett, Cumberland, Davidson, Dickson, Henderson, Henry, Knox, Lawrence, Madison, Montgomery, Rutherford, Sequatchie, Sevier, Shelby, Stewart, Warren, Wilson)"
"Agrostis gigantea","redtop","TN(Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Cocke, Coffee, Cumberland, Davidson, Dickson, Fayette, Fentress, Franklin, Grainger, Grundy, Hardeman, Hardin, Hawkins, Henry, Jackson, Johnson, Knox, Lawrence, McNairy, Meigs, Montgomery, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Union, White, Williamson)"
"Agrostis hyemalis","winter bentgrass","TN(Benton, Blount, Bradley, Cannon, Carroll, Carter, Cheatham, Claiborne, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Franklin, Hamilton, Hardeman, Hawkins, Haywood, Henry, Humphreys, Knox, Lauderdale, Lawrence, Loudon, Madison, Marion, Montgomery, Overton, Perry, Polk, Rhea, Roane, Sequatchie, Sevier, Shelby, Stewart, Sumner, Tipton, Van Buren, Wilson)"
"Agrostis mertensii","northern bentgrass","TN(Blount, Carter)"
"Agrostis perennans","upland bentgrass","TN(Anderson, Bledsoe, Blount, Bradley, Carroll, Carter, Cocke, Coffee, Cumberland, Davidson, Decatur, Dickson, Fayette, Fentress, Franklin, Gibson, Grainger, Greene, Grundy, Hamilton, Hawkins, Haywood, Henderson, Hickman, Humphreys, Johnson, Knox, Lake, Lauderdale, Marion, Meigs, Monroe, Montgomery, Morgan, Obion, Pickett, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sequatchie, Sevier, Shelby, Stewart, Sumner, Unicoi, Union, Van Buren, Warren, Washington)"
"Agrostis scabra","rough bentgrass","TN(Bledsoe, Blount, Campbell, Carter, Cheatham, Coffee, Grundy, Hardin, Humphreys, Knox, Lewis, Macon, Marion, Morgan, Robertson, Sumner, Van Buren)"
"Agrostis stolonifera","creeping bentgrass","TN(Anderson, Blount, Bradley, Carroll, Carter, Cheatham, Coffee, Cumberland, Davidson, Fentress, Grundy, Haywood, Hickman, Lauderdale, Madison, Marion, Maury, Morgan, Polk, Roane, Sevier, Shelby, Stewart, Sumner, Tipton, Unicoi, Union, Wilson)"
"Ailanthus","ailanthus","TN(Anderson, Benton, Campbell, Cannon, Carroll, Carter, Clay, Davidson, DeKalb, Grundy, Jefferson, Knox, Macon, Maury, Montgomery, Morgan, Roane, Scott, Sevier, Stewart, Sumner, Unicoi, Williamson)"
"Ailanthus altissima","tree of heaven","TN(Anderson, Benton, Campbell, Cannon, Carroll, Carter, Clay, Davidson, DeKalb, Grundy, Jefferson, Knox, Macon, Maury, Montgomery, Morgan, Roane, Scott, Sevier, Stewart, Sumner, Unicoi, Williamson)"
"Aira","hairgrass","TN(Carroll, Fayette, Hardin, Haywood, Henry, Madison, Montgomery, Polk, Shelby, Stewart, Wayne)"
"Aira caryophyllea","silver hairgrass","TN(Montgomery)"
"Aira caryophyllea var. caryophyllea","silver hairgrass","TN(Montgomery)"
"Aira elegans","annual silver hairgrass","TN(Carroll, Fayette, Hardin, Haywood, Henry, Madison, Montgomery, Polk, Shelby, Stewart, Wayne)"
"Ajuga","bugle","TN(Knox, Montgomery)"
"Ajuga reptans","common bugle","TN(Knox, Montgomery)"
"Albizia","albizia","TN(Anderson, Campbell, Carter, Davidson, DeKalb, Dickson, Fentress, Greene, Grundy, Hardin, Haywood, Jefferson, Knox, Lake, Loudon, Montgomery, Rutherford, Sevier, Shelby, Stewart, Tipton, Union, Washington)"
"Albizia julibrissin","silktree","TN(Anderson, Campbell, Carter, Davidson, DeKalb, Dickson, Fentress, Greene, Grundy, Hardin, Haywood, Jefferson, Knox, Lake, Loudon, Montgomery, Rutherford, Sevier, Shelby, Stewart, Tipton, Union, Washington)"
"Alcea","hollyhock","TN(Davidson, Houston, Knox, Shelby, Stewart)"
"Alcea rosea","hollyhock","TN(Davidson, Houston, Knox, Shelby, Stewart)"
"Aletris","colicroot","TN(Bledsoe, Blount, Campbell, Carter, Cocke, Coffee, Cumberland, Fentress, Franklin, Greene, Grundy, Johnson, Lewis, Monroe, Moore, Morgan, Pickett, Polk, Putnam, Scott, Sevier, Union, Van Buren, Warren, Washington)"
"Aletris farinosa","white colicroot","TN(Bledsoe, Blount, Campbell, Carter, Cocke, Coffee, Cumberland, Fentress, Franklin, Greene, Grundy, Johnson, Lewis, Monroe, Moore, Morgan, Pickett, Polk, Putnam, Scott, Sevier, Union, Van Buren, Warren, Washington)"
"Alisma","water plantain","TN(Anderson, Blount, Carter, Cocke, Coffee, Crockett, Cumberland, Dickson, Dyer, Fentress, Franklin, Grainger, Grundy, Hawkins, Haywood, Knox, Lake, Marion, Monroe, Montgomery, Obion, Perry, Polk, Roane, Robertson, Rutherford, Scott, Shelby, Stewart, Sullivan, Sumner, Union, Van Buren, Warren, Weakley, Wilson)"
"Alisma subcordatum","American water plantain","TN(Anderson, Blount, Carter, Cocke, Coffee, Crockett, Cumberland, Dickson, Dyer, Fentress, Franklin, Grainger, Grundy, Hawkins, Haywood, Knox, Lake, Marion, Monroe, Montgomery, Obion, Perry, Polk, Roane, Robertson, Rutherford, Scott, Shelby, Stewart, Sullivan, Sumner, Union, Van Buren, Warren, Weakley, Wilson)"
"Alliaria","alliaria","TN(Anderson, Bedford, Cocke, Coffee, Cumberland, Davidson, Grundy, Lake, Lincoln, Marshall, Montgomery, Robertson, Rutherford, Sevier, Smith, Sullivan)"
"Alliaria petiolata","garlic mustard","TN(Anderson, Bedford, Cocke, Coffee, Cumberland, Davidson, Grundy, Lake, Lincoln, Marshall, Montgomery, Robertson, Rutherford, Sevier, Smith, Sullivan)"
"Allium","onion","TN(Anderson, Benton, Bledsoe, Blount, Bradley, Cannon, Carroll, Carter, Cheatham, Claiborne, Cocke, Coffee, Cumberland, Davidson, Decatur, Dickson, Dyer, Fayette, Franklin, Gibson, Giles, Grainger, Grundy, Hamilton, Hancock, Hardeman, Hardin, Haywood, Henderson, Henry, Hickman, Houston, Johnson, Knox, Lauderdale, Lawrence, Lewis, Lincoln, Marion, Marshall, Maury, McMinn, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Obion, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Trousdale, Unicoi, Union, Van Buren, Washington, Wayne, Weakley, White, Williamson, Wilson)"
"Allium ampeloprasum","broadleaf wild leek","TN(Fayette, Hardeman, Roane, Shelby, Union, Washington)"
"Allium burdickii","narrowleaf wild leek","TN(Carter, Coffee, Hardeman, Lincoln, Sevier, Sullivan, Sumner, Trousdale)"
"Allium canadense","meadow garlic","TN(Benton, Blount, Bradley, Cannon, Carroll, Cheatham, Cocke, Coffee, Davidson, Decatur, Dickson, Franklin, Gibson, Grainger, Grundy, Hardin, Haywood, Henderson, Henry, Knox, Lauderdale, Lewis, Marion, Marshall, Maury, McNairy, Meigs, Monroe, Montgomery, Polk, Roane, Rutherford, Stewart, Sullivan, Sumner, Tipton, Union, Wayne, Weakley, White, Williamson, Wilson)"
"Allium cernuum","nodding onion","TN(Anderson, Blount, Cheatham, Claiborne, Cumberland, Davidson, Franklin, Hamilton, Hancock, Johnson, Knox, Lewis, Maury, Meigs, Moore, Morgan, Overton, Roane, Robertson, Rutherford, Unicoi, Van Buren, Washington, Wilson)"
"Allium cernuum var. cernuum","nodding onion","TN(Anderson, Blount, Cheatham, Claiborne, Cumberland, Davidson, Franklin, Hamilton, Hancock, Johnson, Knox, Lewis, Maury, Meigs, Moore, Morgan, Overton, Roane, Robertson, Rutherford, Unicoi, Van Buren, Washington, Wilson)"
"Allium sativum","cultivated garlic","TN(Fayette, Giles, Haywood, McMinn, Meigs, Morgan, Shelby, Stewart, Sumner)"
"Allium stellatum","autumn onion","TN(Davidson, Maury, Rutherford, Wilson)"
"Allium tricoccum","ramp","TN(Bledsoe, Carter, Cocke, Davidson, Giles, Hickman, Monroe, Morgan, Polk, Sevier, Sumner, Trousdale, Unicoi, Union)"
"Allium vineale","wild garlic","TN(Anderson, Blount, Bradley, Cannon, Carter, Cheatham, Coffee, Davidson, Dickson, Dyer, Gibson, Hamilton, Haywood, Henderson, Henry, Hickman, Houston, Knox, Lauderdale, Lawrence, Marion, Meigs, Monroe, Montgomery, Obion, Polk, Putnam, Rhea, Roane, Rutherford, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Van Buren, Williamson)"
"Allium vineale ssp. vineale","wild garlic","TN(Anderson, Blount, Bradley, Cannon, Carter, Cheatham, Coffee, Davidson, Dickson, Dyer, Gibson, Hamilton, Haywood, Henderson, Henry, Hickman, Houston, Knox, Lauderdale, Lawrence, Marion, Meigs, Monroe, Montgomery, Obion, Polk, Putnam, Rhea, Roane, Rutherford, Sevier, Shelby, Smith, Stewart, Sullivan, Sumner, Tipton, Unicoi, Van Buren, Williamson)"
"Alnus","alder","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Chester, Clay, Coffee, Cumberland, Dickson, Fayette, Fentress, Franklin, Gibson, Grainger, Grundy, Hamilton, Hardin, Henry, Hickman, Houston, Humphreys, Johnson, Knox, Lawrence, Lewis, Lincoln, Loudon, Madison, Maury, McNairy, Monroe, Montgomery, Morgan, Overton, Polk, Putnam, Rhea, Roane, Scott, Sevier, Stewart, Sumner, Tipton, Unicoi, Van Buren, Warren, Wayne, Weakley, White, Williamson, Wilson)"
"Alnus glutinosa","European alder","TN(Morgan)"
"Alnus serrulata","hazel alder","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Carroll, Carter, Cheatham, Chester, Clay, Coffee, Cumberland, Dickson, Fayette, Fentress, Franklin, Gibson, Grainger, Grundy, Hamilton, Hardin, Henry, Hickman, Houston, Humphreys, Johnson, Knox, Lawrence, Lewis, Lincoln, Loudon, Madison, Maury, McNairy, Monroe, Montgomery, Morgan, Overton, Polk, Putnam, Rhea, Roane, Scott, Sevier, Stewart, Sumner, Tipton, Unicoi, Van Buren, Warren, Wayne, Weakley, White, Williamson, Wilson)"
"Alnus viridis","green alder","TN(Carter)"
"Alnus viridis ssp. crispa","mountain alder","TN(Carter)"
"Alopecurus","foxtail","TN(Anderson, Bedford, Benton, Carroll, Cheatham, Coffee, Fayette, Gibson, Hamblen, Hamilton, Hardeman, Haywood, Henderson, Henry, Houston, Humphreys, Jackson, Jefferson, Knox, Lake, Lauderdale, Lincoln, Madison, Marion, McNairy, Montgomery, Morgan, Obion, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Williamson)"
"Alopecurus aequalis","shortawn foxtail","TN(Sevier)"
"Alopecurus aequalis var. aequalis","shortawn foxtail","TN(Sevier)"
"Alopecurus carolinianus","Carolina foxtail","TN(Anderson, Bedford, Benton, Carroll, Cheatham, Coffee, Fayette, Gibson, Hamblen, Hamilton, Hardeman, Haywood, Henderson, Henry, Houston, Humphreys, Jackson, Jefferson, Knox, Lake, Lauderdale, Lincoln, Madison, Marion, McNairy, Montgomery, Morgan, Obion, Roane, Robertson, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Williamson)"
"Alopecurus pratensis","meadow foxtail","TN(Roane, Sevier)"
"Alternanthera","joyweed","TN(Benton, Davidson, Hamilton, Hardin, Henry, Houston, Humphreys, Knox, Marion, Meigs, Perry, Rhea, Shelby, Stewart)"
"Alternanthera philoxeroides","alligatorweed","TN(Benton, Davidson, Hamilton, Hardin, Henry, Houston, Humphreys, Knox, Marion, Meigs, Perry, Rhea, Shelby, Stewart)"
"Alyssum","madwort","TN(Putnam)"
"Alyssum alyssoides","pale madwort","TN(Putnam)"
"Amaranthus","pigweed","TN(Bedford, Blount, Campbell, Carter, Cheatham, Chester, Claiborne, Cumberland, Davidson, Dyer, Fayette, Fentress, Grainger, Hancock, Hardin, Haywood, Henderson, Hickman, Houston, Humphreys, Jackson, Knox, Lake, Lauderdale, Macon, Madison, Marshall, Maury, McMinn, McNairy, Montgomery, Obion, Perry, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Wayne, Williamson, Wilson)"
"Amaranthus albus","prostrate pigweed","TN(Chester, Davidson, Haywood, Knox, Lake, Madison, McNairy, Rutherford, Shelby)"
"Amaranthus arenicola","sandhill amaranth","TN(Tipton)"
"Amaranthus australis","southern amaranth","TN(Chester, Cumberland)"
"Amaranthus blitoides","mat amaranth","TN(Davidson, Montgomery, Shelby)"
"Amaranthus blitum","purple amaranth","TN(Knox)"
"Amaranthus blitum var. emarginatus","purple amaranth","TN(Knox)"
"Amaranthus caudatus","foxtail amaranth","TN(Davidson)"
"Amaranthus hybridus","slim amaranth","TN(Bedford, Blount, Campbell, Claiborne, Davidson, Fentress, Grainger, Hancock, Hardin, Knox, Lake, Macon, Marshall, Maury, McMinn, Montgomery, Obion, Rutherford, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Wilson)"
"Amaranthus palmeri","carelessweed","TN(Carter, Dyer, Madison, Montgomery, Rutherford, Shelby, Wilson)"
"Amaranthus retroflexus","redroot amaranth","TN(Davidson, Haywood, Jackson, Rutherford, Shelby, Tipton)"
"Amaranthus spinosus","spiny amaranth","TN(Bedford, Blount, Carter, Davidson, Fayette, Henderson, Houston, Knox, Lauderdale, McMinn, McNairy, Montgomery, Perry, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Wayne, Williamson)"
"Amaranthus tuberculatus","roughfruit amaranth","TN(Cheatham, Davidson, Hickman, Humphreys, Knox, Lake, Lauderdale, Montgomery, Obion, Shelby, Stewart, Tipton, Williamson, Wilson)"
"Amaranthus viridis","slender amaranth","TN(Davidson)"
"Ambrosia","ragweed","TN(Bedford, Bledsoe, Blount, Campbell, Carroll, Carter, Cumberland, Davidson, Decatur, Dickson, Fayette, Fentress, Franklin, Grainger, Greene, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henry, Houston, Humphreys, Johnson, Knox, Lake, Lauderdale, Lawrence, Lewis, Macon, Marion, Marshall, Maury, McMinn, Meigs, Monroe, Montgomery, Obion, Overton, Perry, Polk, Putnam, Rhea, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Trousdale, Wayne, Williamson, Wilson)"
"Ambrosia artemisiifolia","annual ragweed","TN(Bedford, Blount, Campbell, Carter, Cumberland, Davidson, Decatur, Dickson, Fayette, Fentress, Franklin, Grainger, Greene, Grundy, Hamilton, Hardin, Hawkins, Houston, Johnson, Knox, Lauderdale, Lewis, Marion, Marshall, Maury, Monroe, Montgomery, Obion, Overton, Polk, Rhea, Roane, Rutherford, Scott, Sevier, Shelby, Stewart, Sumner, Tipton, Wayne, Williamson, Wilson)"
"Ambrosia bidentata","lanceleaf ragweed","TN(Blount, Carroll, Davidson, Hardeman, Hardin, Haywood, Henry, Knox, Lawrence, Meigs, Montgomery, Overton, Putnam, Rutherford, Shelby, Stewart, Tipton)"
"Ambrosia trifida","great ragweed","TN(Bledsoe, Blount, Campbell, Carter, Cumberland, Davidson, Dickson, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Haywood, Humphreys, Knox, Lake, Lauderdale, Macon, Marion, Marshall, McMinn, Monroe, Montgomery, Obion, Perry, Roane, Rutherford, Scott, Sevier, Stewart, Sumner, Tipton, Trousdale, Williamson)"
"Ambrosia trifida var. trifida","great ragweed","TN(Bledsoe, Blount, Campbell, Carter, Cumberland, Davidson, Dickson, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Haywood, Humphreys, Knox, Lake, Lauderdale, Macon, Marion, Marshall, McMinn, Monroe, Montgomery, Obion, Perry, Roane, Rutherford, Scott, Sevier, Stewart, Sumner, Tipton, Trousdale, Williamson)"
"Amelanchier","serviceberry","TN(Anderson, Benton, Bledsoe, Blount, Campbell, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Cocke, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardeman, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Johnson, Knox, Lawrence, Lewis, Loudon, Madison, Marion, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Warren, Washington, Wayne, White, Williamson, Wilson)"
"Amelanchier arborea","common serviceberry","TN(Anderson, Benton, Bledsoe, Blount, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Knox, Lawrence, Lewis, Madison, Marion, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Warren, Wayne, White, Williamson, Wilson)"
"Amelanchier arborea var. arborea","common serviceberry","TN(Anderson, Benton, Bledsoe, Blount, Cannon, Carroll, Carter, Cheatham, Chester, Claiborne, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Fentress, Franklin, Grainger, Grundy, Hamilton, Hardin, Hawkins, Haywood, Henderson, Henry, Hickman, Houston, Humphreys, Jackson, Jefferson, Knox, Lawrence, Lewis, Madison, Marion, McNairy, Meigs, Monroe, Montgomery, Moore, Morgan, Overton, Polk, Putnam, Rhea, Roane, Robertson, Rutherford, Scott, Sevier, Stewart, Sullivan, Sumner, Unicoi, Union, Van Buren, Warren, Wayne, White, Williamson, Wilson)"
"Amelanchier canadensis","Canadian serviceberry","TN(Bledsoe, Blount, Campbell, Claiborne, Cumberland, Fentress, Grundy, Knox, Loudon, Sevier, Van Buren)"
"Amelanchier laevis","Allegheny serviceberry","TN(Anderson, Blount, Carter, Cocke, Cumberland, Davidson, Dickson, Fentress, Grundy, Hardeman, Jefferson, Johnson, Monroe, Morgan, Polk, Putnam, Rhea, Roane, Robertson, Scott, Sevier, Unicoi, Washington)"
"Amelanchier sanguinea","roundleaf serviceberry","TN(Bledsoe, Cumberland, Fentress, Hamilton, Johnson, Morgan, Sevier)"
"Amelanchier sanguinea var. sanguinea","roundleaf serviceberry","TN(Bledsoe, Cumberland, Fentress, Hamilton, Johnson, Morgan, Sevier)"
"Amianthium","amianthium","TN(Anderson, Campbell, Carter, Cocke, Coffee, Franklin, Loudon, Meigs, Roane, Sevier, Unicoi, Union, Wayne)"
"Amianthium muscitoxicum","flypoison","TN(Anderson, Campbell, Carter, Cocke, Coffee, Franklin, Loudon, Meigs, Roane, Sevier, Unicoi, Union, Wayne)"
"Ammannia","redstem","TN(Anderson, Benton, Bradley, Campbell, Carroll, Cheatham, Crockett, Davidson, Dyer, Fayette, Gibson, Grainger, Hardeman, Hawkins, Haywood, Henderson, Houston, Humphreys, Jackson, Jefferson, Knox, Lake, Lauderdale, Macon, Montgomery, Obion, Rutherford, Shelby, Stewart, Tipton, Union, Weakley, Williamson, Wilson)"
"Ammannia coccinea","valley redstem","TN(Anderson, Benton, Bradley, Campbell, Carroll, Cheatham, Crockett, Davidson, Dyer, Fayette, Gibson, Grainger, Hardeman, Hawkins, Haywood, Henderson, Houston, Humphreys, Jackson, Jefferson, Knox, Lake, Lauderdale, Macon, Montgomery, Obion, Rutherford, Shelby, Stewart, Tipton, Union, Weakley, Williamson, Wilson)"
"Ammannia robusta","grand redstem","TN(Lake, Lauderdale, Shelby, Tipton)"
"Ammoselinum","sandparsley","TN(Blount, Davidson, Hardin, Haywood, Henderson, Marshall, Maury, Rutherford, Shelby, Wilson)"
"Ammoselinum butleri","Butler's sandparsley","TN(Blount, Davidson, Hardin, Haywood, Henderson, Shelby)"
"Ammoselinum popei","plains sandparsley","TN(Davidson, Marshall, Maury, Rutherford, Wilson)"
"Amorpha","false indigo","TN(Anderson, Bedford, Blount, Carter, Cheatham, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Franklin, Gibson, Giles, Greene, Grundy, Hamilton, Hardin, Haywood, Houston, Knox, Lake, Lauderdale, Lawrence, Loudon, Marion, Meigs, Montgomery, Morgan, Obion, Perry, Polk, Rhea, Roane, Rutherford, Sevier, Shelby, Stewart, Tipton, Unicoi, Washington, White)"
"Amorpha fruticosa","false indigo bush","TN(Anderson, Bedford, Blount, Carter, Cheatham, Coffee, Cumberland, Davidson, DeKalb, Decatur, Dickson, Dyer, Franklin, Gibson, Giles, Greene, Grundy, Hamilton, Haywood, Houston, Knox, Lake, Lauderdale, Marion, Meigs, Montgomery, Morgan, Obion, Perry, Polk, Rhea, Roane, Sevier, Shelby, Stewart, Tipton, Washington, White)"
"Amorpha glabra","mountain false indigo","TN(Blount, Cheatham, Davidson, Decatur, Franklin, Greene, Hamilton, Hardin, Knox, Lawrence, Loudon, Marion, Montgomery, Rutherford, Stewart, Unicoi, Washington)"
"Ampelopsis","peppervine","TN(Anderson, Bedford, Bledsoe, Blount, Carroll, Cheatham, Davidson, DeKalb, Decatur, Dickson, Dyer, Giles, Hamilton, Hardin, Hawkins, Haywood, Hickman, Houston, Jefferson, Knox, Lake, Lauderdale, Lincoln, Loudon, Marion, Monroe, Montgomery, Obion, Perry, Polk, Roane, Rutherford, Shelby, Stewart, Sumner, Tipton, Trousdale, Williamson, Wilson)"
