"","",""
"Abies","fir","WV(Grant, Pocahontas, Randolph, Tucker)"
"Alnus","alder","WV(Barbour, Berkeley, Braxton, Cabell, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Marion, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Alnus incana","gray alder","WV(Grant, Greenbrier, Monongalia, Pocahontas, Preston, Tucker)"
"Alnus incana ssp. rugosa","speckled alder","WV(Grant, Greenbrier, Monongalia, Pocahontas, Preston, Tucker)"
"Alnus serrulata","hazel alder","WV(Barbour, Berkeley, Braxton, Cabell, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Marion, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wirt, Wyoming)"
"Alopecurus","foxtail","WV(Hancock, Jackson, Kanawha, Monongalia, Ohio)"
"Alopecurus carolinianus","Carolina foxtail","WV(Hancock, Kanawha, Monongalia, Ohio)"
"Alopecurus myosuroides","slender meadow foxtail","WV(Jackson, Monongalia)"
"Alopecurus pratensis","meadow foxtail","WV(Monongalia, Ohio)"
"Alyssum","madwort","WV(Berkeley, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Pendleton, Pocahontas)"
"Alyssum alyssoides","pale madwort","WV(Berkeley, Grant, Greenbrier, Hampshire, Hardy, Jefferson, Pendleton, Pocahontas)"
"Amaranthus","pigweed","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, Mason, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pocahontas, Putnam, Raleigh, Randolph, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Amaranthus albus","prostrate pigweed","WV(Grant, Hampshire, Harrison, Monongalia, Summers)"
"Amaranthus blitoides","mat amaranth","WV(Monongalia, Morgan)"
"Amaranthus cruentus","red amaranth","WV(Hardy)"
"Amaranthus hybridus","slim amaranth","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Fayette, Greenbrier, Hampshire, Hancock, Harrison, Kanawha, Lewis, Marion, Mineral, Monongalia, Ohio, Putnam, Randolph, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wyoming)"
"Amaranthus palmeri","carelessweed","WV(Kanawha)"
"Amaranthus powellii","Powell's amaranth","WV(Monongalia, Ohio, Raleigh)"
"Amaranthus powellii ssp. powellii","Powell's amaranth","WV(Monongalia, Ohio, Raleigh)"
"Amaranthus retroflexus","redroot amaranth","WV(Hampshire, Mineral, Monongalia, Pocahontas, Upshur)"
"Amaranthus spinosus","spiny amaranth","WV(Berkeley, Braxton, Calhoun, Greenbrier, Hampshire, Hardy, Jackson, Jefferson, Kanawha, Mason, Mercer, Nicholas, Raleigh, Wayne, Wirt)"
"Amaranthus tuberculatus","roughfruit amaranth","WV(Cabell, Jackson, Kanawha, Mason, Tyler, Wetzel, Wood)"
"Ambrosia","ragweed","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Ambrosia artemisiifolia","annual ragweed","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Putnam, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Ambrosia artemisiifolia var. elatior","annual ragweed","WV(Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Putnam, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Ambrosia bidentata","lanceleaf ragweed","WV(Wood)"
"Ambrosia trifida","great ragweed","WV(Barbour, Braxton, Brooke, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Logan, Marion, Mason, McDowell, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Ambrosia trifida var. trifida","great ragweed","WV(Barbour, Braxton, Brooke, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Logan, Marion, Mason, McDowell, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Amelanchier","serviceberry","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Amelanchier arborea","common serviceberry","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Amelanchier arborea var. arborea","common serviceberry","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Lincoln, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Amelanchier bartramiana","oblongfruit serviceberry","WV(Pocahontas, Randolph, Tucker)"
"Amelanchier laevis","Allegheny serviceberry","WV(Fayette, Grant, Hardy, Marion, Mineral, Monongalia, Pendleton, Pocahontas, Preston, Randolph, Tucker, Upshur, Wetzel)"
"Amelanchier sanguinea","roundleaf serviceberry","WV(Grant, Greenbrier, Hampshire, Mineral, Nicholas, Pendleton)"
"Amelanchier sanguinea var. sanguinea","roundleaf serviceberry","WV(Grant, Greenbrier, Hampshire, Mineral, Nicholas, Pendleton)"
"Amelanchier stolonifera","running serviceberry","WV(Braxton, Doddridge, Fayette, Grant, Jackson, Monongalia, Nicholas, Pendleton, Preston, Tucker, Upshur, Webster)"
"Amianthium","amianthium","WV(Grant, Greenbrier, Hardy, Monroe, Pendleton, Pocahontas)"
"Amianthium muscitoxicum","flypoison","WV(Grant, Greenbrier, Hardy, Monroe, Pendleton, Pocahontas)"
"Ammannia","redstem","WV(Cabell, Marshall, Mason, Wood)"
"Ammannia coccinea","valley redstem","WV(Cabell, Marshall, Mason, Wood)"
"Amorpha","false indigo","WV(Cabell, Monroe, Putnam)"
"Amorpha fruticosa","false indigo bush","WV(Cabell, Monroe, Putnam)"
"Ampelopsis","peppervine","WV(Fayette, Kanawha)"
"Ampelopsis cordata","heartleaf peppervine","WV(Fayette, Kanawha)"
"Amphicarpaea","hogpeanut","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Webster, Wetzel, Wirt, Wyoming)"
"Amphicarpaea bracteata","American hogpeanut","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Marshall, Mason, Mercer, Mineral, Monongalia, Morgan, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Webster, Wetzel, Wirt, Wyoming)"
"Anagallis","pimpernel","WV(Barbour, Berkeley, Grant, Hampshire, Hardy, Jefferson, Kanawha, Monongalia, Morgan, Pendleton, Preston, Putnam, Summers, Wayne, Wood)"
"Anagallis arvensis","scarlet pimpernel","WV(Barbour, Berkeley, Grant, Hampshire, Hardy, Jefferson, Kanawha, Monongalia, Morgan, Pendleton, Preston, Putnam, Summers, Wayne, Wood)"
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","WV(Barbour, Berkeley, Grant, Hampshire, Hardy, Jefferson, Kanawha, Monongalia, Morgan, Pendleton, Preston, Putnam, Summers, Wayne, Wood)"
"Anagallis minima","chaffweed","WV(Grant)"
"Anaphalis","pearly everlasting","WV(Grant, Hampshire, Pendleton, Pocahontas, Randolph, Tucker)"
"Anaphalis margaritacea","western pearly everlasting","WV(Grant, Hampshire, Pendleton, Pocahontas, Randolph, Tucker)"
"Andromeda","bog rosemary","WV(Pocahontas)"
"Andromeda polifolia","bog rosemary","WV(Pocahontas)"
"Andromeda polifolia var. glaucophylla","bog rosemary","WV(Pocahontas)"
"Andropogon","bluestem","WV(Barbour, Berkeley, Braxton, Cabell, Calhoun, Doddridge, Fayette, Grant, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Andropogon gerardii","big bluestem","WV(Barbour, Braxton, Calhoun, Doddridge, Fayette, Grant, Hampshire, Harrison, Marion, Mineral, Monongalia, Morgan, Ohio, Pocahontas, Preston, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Webster, Wirt)"
"Andropogon glomeratus","bushy bluestem","WV(Barbour, Berkeley, Marion, Pendleton, Randolph, Upshur, Wetzel)"
"Andropogon glomeratus var. glomeratus","bushy bluestem","WV(Barbour, Berkeley, Marion, Pendleton, Randolph, Upshur, Wetzel)"
"Andropogon gyrans","Elliott's bluestem","WV(Cabell, Fayette, Jackson, Monongalia, Monroe, Nicholas, Raleigh)"
"Andropogon gyrans var. gyrans","Elliott's bluestem","WV(Cabell, Fayette, Jackson, Monongalia, Monroe, Nicholas, Raleigh)"
"Andropogon virginicus","broomsedge bluestem","WV(Barbour, Berkeley, Braxton, Cabell, Calhoun, Fayette, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Summers, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Andropogon virginicus var. virginicus","broomsedge bluestem","WV(Barbour, Berkeley, Braxton, Cabell, Calhoun, Fayette, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lewis, Marion, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Summers, Tucker, Upshur, Wayne, Webster, Wetzel, Wirt)"
"Anemone","anemone","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Anemone canadensis","Canadian anemone","WV(Mercer, Ohio, Randolph, Webster)"
"Anemone lancifolia","mountain thimbleweed","WV(Barbour, Calhoun, Fayette, Greenbrier, Hardy, Kanawha, McDowell, Mercer, Pendleton, Pocahontas, Summers, Upshur)"
"Anemone quinquefolia","wood anemone","WV(Barbour, Boone, Fayette, Hampshire, Kanawha, Lincoln, McDowell, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Wayne)"
"Anemone quinquefolia var. minima","nightcaps","WV(Fayette, Kanawha, McDowell, Mercer, Randolph, Tucker, Upshur)"
"Anemone quinquefolia var. quinquefolia","nightcaps","WV(Barbour, Boone, Fayette, Hampshire, Kanawha, Lincoln, Mercer, Mineral, Monongalia, Nicholas, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Wayne)"
"Anemone virginiana","tall thimbleweed","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Anemone virginiana var. virginiana","tall thimbleweed","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Lincoln, Marion, Marshall, McDowell, Mercer, Mineral, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Anethum","dill","WV(Mineral, Morgan, Wyoming)"
"Anethum graveolens","dill","WV(Mineral, Morgan, Wyoming)"
"Angelica","angelica","WV(Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Jackson, Kanawha, Marion, Marshall, McDowell, Mineral, Monongalia, Monroe, Morgan, Pendleton, Pleasants, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Tyler, Upshur, Webster, Wetzel, Wirt, Wyoming)"
"Angelica atropurpurea","purplestem angelica","WV(Fayette, Grant, Hancock, Marion, Marshall, McDowell, Mineral, Monongalia, Pleasants, Pocahontas, Preston, Tucker, Tyler, Wetzel)"
"Angelica triquinata","filmy angelica","WV(Greenbrier, Monongalia, Pendleton, Pocahontas, Randolph, Ritchie, Taylor, Tucker, Webster, Wetzel, Wyoming)"
"Angelica venenosa","hairy angelica","WV(Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Jackson, Kanawha, Marion, Mineral, Monongalia, Monroe, Morgan, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Webster, Wetzel, Wirt)"
"Antennaria","pussytoes","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Kanawha, Lincoln, Marion, Mason, McDowell, Mercer, Mineral, Monongalia, Monroe, Morgan, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wood, Wyoming)"
"Antennaria howellii","Howell's pussytoes","WV(Fayette, Grant, Hardy, Marion, Monongalia, Ohio, Randolph, Tucker, Wetzel)"
"Antennaria howellii ssp. neodioica","Howell's pussytoes","WV(Fayette, Grant, Hardy, Marion, Monongalia, Randolph, Wetzel)"
"Antennaria howellii ssp. petaloidea","small pussytoes","WV(Monongalia, Ohio, Tucker)"
"Antennaria neglecta","field pussytoes","WV(Boone, Hampshire, Wirt)"
"Antennaria parlinii","Parlin's pussytoes","WV(Barbour, Berkeley, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Harrison, Jackson, Kanawha, Lincoln, Marion, Mason, Mercer, Mineral, Monongalia, Ohio, Pendleton, Pocahontas, Preston, Raleigh, Ritchie, Summers, Taylor, Tucker, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Antennaria parlinii ssp. fallax","Parlin's pussytoes","WV(Berkeley, Cabell, Fayette, Grant, Hampshire, Kanawha, Mercer, Mineral, Monongalia, Pendleton, Raleigh, Upshur, Wirt)"
"Antennaria parlinii ssp. parlinii","Parlin's pussytoes","WV(Barbour, Boone, Braxton, Brooke, Cabell, Calhoun, Clay, Fayette, Grant, Greenbrier, Hampshire, Hancock, Harrison, Jackson, Kanawha, Lincoln, Marion, Mason, Mineral, Monongalia, Ohio, Pendleton, Pocahontas, Preston, Ritchie, Summers, Taylor, Tucker, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Antennaria plantaginifolia","woman's tobacco","WV(Berkeley, Gilmer, Grant, Hampshire, Hardy, Lincoln, McDowell, Monroe, Morgan, Roane, Summers, Wayne)"
"Antennaria solitaria","singlehead pussytoes","WV(Barbour, Cabell, Calhoun, Clay, Fayette, Hancock, Kanawha, Lincoln, Monongalia, Nicholas, Raleigh, Randolph, Ritchie, Roane, Taylor, Upshur, Wyoming)"
"Antennaria virginica","shale barren pussytoes","WV(Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hardy, Mineral, Morgan, Pendleton, Pocahontas, Randolph, Summers, Tucker)"
"Anthemis","chamomile","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Doddridge, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marshall, McDowell, Mercer, Mineral, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Anthemis arvensis","corn chamomile","WV(Barbour, Berkeley, Fayette, Hampshire, Hancock, Hardy, Jackson, Jefferson, Kanawha, Lewis, McDowell, Mercer, Mineral, Monongalia, Pendleton, Pocahontas, Preston, Raleigh, Randolph, Ritchie, Summers, Taylor, Tucker, Upshur, Wetzel, Wirt)"
"Anthemis cotula","stinking chamomile","WV(Barbour, Berkeley, Braxton, Brooke, Calhoun, Doddridge, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lewis, Logan, Marshall, McDowell, Mercer, Monongalia, Monroe, Nicholas, Ohio, Pendleton, Pocahontas, Preston, Putnam, Randolph, Ritchie, Summers, Tucker, Upshur, Wetzel, Wirt, Wood, Wyoming)"
"Anthemis tinctoria","golden chamomile","WV(Hardy, Monongalia)"
"Anthoxanthum","hornwort","WV(Barbour, Berkeley, Boone, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Lewis, Lincoln, Marion, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Wetzel)"
"Anthoxanthum aristatum","annual vernalgrass","WV(Monongalia)"
"Anthoxanthum odoratum","sweet vernalgrass","WV(Barbour, Berkeley, Boone, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Lewis, Lincoln, Marion, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Wetzel)"
"Anthoxanthum odoratum ssp. odoratum","sweet vernalgrass","WV(Barbour, Berkeley, Boone, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hardy, Harrison, Jefferson, Kanawha, Lewis, Lincoln, Marion, Mineral, Monongalia, Nicholas, Ohio, Pocahontas, Preston, Raleigh, Randolph, Tucker, Upshur, Wetzel)"
"Anthriscus","chervil","WV(Kanawha)"
"Anthriscus caucalis","bur chervil","WV(Kanawha)"
"Apios","groundnut","WV(Barbour, Braxton, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lincoln, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Apios americana","groundnut","WV(Barbour, Braxton, Fayette, Greenbrier, Hampshire, Hardy, Harrison, Jackson, Kanawha, Lincoln, Marshall, Mason, McDowell, Mercer, Mineral, Monongalia, Morgan, Pocahontas, Preston, Putnam, Raleigh, Randolph, Summers, Taylor, Tucker, Upshur, Wayne, Wetzel, Wirt, Wyoming)"
"Apium","celery","WV(Mercer)"
"Apium graveolens","wild celery","WV(Mercer)"
"Apium graveolens var. dulce","wild celery","WV(Mercer)"
"Aplectrum","Adam and Eve","WV(Barbour, Berkeley, Calhoun, Fayette, Gilmer, Hampshire, Jefferson, Kanawha, Logan, McDowell, Mercer, Pocahontas, Raleigh, Randolph, Summers, Taylor, Upshur, Wirt, Wyoming)"
"Aplectrum hyemale","Adam and Eve","WV(Barbour, Berkeley, Calhoun, Fayette, Gilmer, Hampshire, Jefferson, Kanawha, Logan, McDowell, Mercer, Pocahontas, Raleigh, Randolph, Summers, Taylor, Upshur, Wirt, Wyoming)"
"Apocynum","dogbane","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Nicholas, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Apocynum ×floribundum","","WV(Doddridge, Fayette, Grant, Hardy, Marion, Monongalia, Morgan, Preston, Raleigh, Summers, Taylor, Upshur, Wetzel)"
"Apocynum androsaemifolium","spreading dogbane","WV(Barbour, Calhoun, Fayette, Grant, Greenbrier, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Marion, Monongalia, Morgan, Nicholas, Pendleton, Pocahontas, Raleigh, Randolph, Summers, Taylor, Tucker, Wetzel)"
"Apocynum cannabinum","Indianhemp","WV(Barbour, Berkeley, Braxton, Brooke, Cabell, Calhoun, Clay, Doddridge, Fayette, Gilmer, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Jackson, Jefferson, Kanawha, Lewis, Logan, Marion, Marshall, Mason, McDowell, Mercer, Mineral, Mingo, Monongalia, Morgan, Ohio, Pendleton, Pleasants, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Roane, Summers, Taylor, Tucker, Tyler, Upshur, Wayne, Webster, Wetzel, Wirt, Wood, Wyoming)"
"Aquilegia","columbine","WV(Barbour, Berkeley, Boone, Braxton, Calhoun, Fayette, Grant, Greenbrier, Hampshire, Hancock, Hardy, Harrison, Kanawha, Logan, Marshall, McDowell, Mercer, Mineral, Mingo, Monongalia, Monroe, Morgan, Nicholas, Pendleton, Pocahontas, Preston, Putnam, Raleigh, Randolph, Ritchie, Summers, Tucker, Upshur, Webster, Wetzel, Wyoming)"
