"","",""
"Abronia","sand verbena","OK(Cimarron, Harmon, Jackson, Texas)"
"Amorpha fruticosa","false indigo bush","OK(Adair, Alfalfa, Atoka, Beaver, Blaine, Bryan, Caddo, Cherokee, Cleveland, Coal, Comanche, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Grant, Greer, Harmon, Haskell, Jefferson, Johnston, Kingfisher, Latimer, Le Flore, Logan, Major, Marshall, Mayes, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Pawnee, Payne, Pontotoc, Pottawatomie, Pushmataha, Roger Mills, Sequoyah, Stephens, Tillman, Tulsa, Wagoner, Washita, Woods)"
"Ampelopsis","peppervine","OK(Adair, Alfalfa, Atoka, Beckham, Canadian, Cherokee, Cleveland, Comanche, Custer, Ellis, Grady, Greer, Johnston, Latimer, Major, Marshall, Mayes, Murray, Muskogee, Noble, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Roger Mills, Tulsa, Washington, Woodward)"
"Ampelopsis cordata","heartleaf peppervine","OK(Adair, Alfalfa, Atoka, Beckham, Canadian, Cherokee, Cleveland, Comanche, Custer, Ellis, Grady, Greer, Johnston, Latimer, Major, Marshall, Mayes, Murray, Muskogee, Noble, Oklahoma, Ottawa, Payne, Pontotoc, Pottawatomie, Roger Mills, Tulsa, Washington, Woodward)"
"Amphiachyris","broomweed","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Dewey, Garfield, Garvin, Grady, Greer, Harmon, Johnston, Kay, Kingfisher, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Sequoyah, Stephens, Tulsa, Woods)"
"Amphiachyris dracunculoides","prairie broomweed","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cherokee, Cleveland, Comanche, Creek, Custer, Dewey, Garfield, Garvin, Grady, Greer, Harmon, Johnston, Kay, Kingfisher, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Payne, Pontotoc, Pottawatomie, Sequoyah, Stephens, Tulsa, Woods)"
"Amphicarpaea","hogpeanut","OK(Adair, Bryan, Canadian, Cherokee, Cleveland, Comanche, Craig, Delaware, Mayes, Murray, Muskogee, Nowata, Ottawa, Tulsa)"
"Amphicarpaea bracteata","American hogpeanut","OK(Adair, Bryan, Canadian, Cherokee, Cleveland, Comanche, Craig, Delaware, Mayes, Murray, Muskogee, Nowata, Ottawa, Tulsa)"
"Amsinckia","fiddleneck","OK(Oklahoma)"
"Amsinckia lycopsoides","tarweed fiddleneck","OK(Oklahoma)"
"Amsonia","bluestar","OK(Caddo, Comanche, Kingfisher, Ottawa)"
"Amsonia ciliata","fringed bluestar","OK(Caddo, Comanche, Kingfisher)"
"Amsonia ciliata var. texana","Texas bluestar","OK(Caddo, Comanche, Kingfisher)"
"Amsonia illustris","Ozark bluestar","OK(Ottawa)"
"Anagallis","pimpernel","OK(Cleveland, Le Flore, McCurtain, Muskogee, Tulsa)"
"Anagallis arvensis","scarlet pimpernel","OK(Cleveland)"
"Anagallis minima","chaffweed","OK(Le Flore, McCurtain, Muskogee, Tulsa)"
"Andropogon","bluestem","OK(Adair, Alfalfa, Beaver, Bryan, Caddo, Canadian, Carter, Cherokee, Cimarron, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Ellis, Garvin, Grady, Greer, Harmon, Harper, Haskell, Jackson, Johnston, Kiowa, Le Flore, Lincoln, Logan, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Rogers, Seminole, Sequoyah, Texas, Tulsa, Washington, Washita, Woods, Woodward)"
"Andropogon gerardii","big bluestem","OK(Adair, Bryan, Cherokee, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Grady, Greer, Harmon, Harper, Haskell, Jackson, Johnston, Kiowa, Le Flore, Lincoln, Logan, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Rogers, Sequoyah, Tulsa, Washington, Washita, Woods)"
"Andropogon glomeratus","bushy bluestem","OK(Caddo, Cleveland, McClain, Oklahoma)"
"Andropogon hallii","sand bluestem","OK(Alfalfa, Beaver, Caddo, Canadian, Cleveland, Comanche, Ellis, Garvin, Greer, Harper, Logan, Major, McClain, Roger Mills, Texas, Woods, Woodward)"
"Andropogon ternarius","splitbeard bluestem","OK(Bryan, Carter, Cherokee, Cleveland, Coal, Delaware, Johnston, Le Flore, Logan, Marshall, Mayes, McClain, McCurtain, McIntosh, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pontotoc, Seminole, Sequoyah)"
"Andropogon ternarius var. ternarius","splitbeard bluestem","OK(Bryan, Carter, Cherokee, Cleveland, Coal, Delaware, Johnston, Le Flore, Logan, Marshall, Mayes, McClain, McCurtain, McIntosh, Muskogee, Oklahoma, Osage, Ottawa, Payne, Pontotoc, Seminole, Sequoyah)"
"Andropogon virginicus","broomsedge bluestem","OK(Adair, Bryan, Canadian, Cherokee, Cleveland, Coal, Delaware, Johnston, Le Flore, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Ottawa, Payne, Sequoyah, Tulsa, Washington)"
"Andropogon virginicus var. virginicus","broomsedge bluestem","OK(Adair, Bryan, Canadian, Cherokee, Cleveland, Coal, Delaware, Johnston, Le Flore, Marshall, Mayes, McClain, McCurtain, Murray, Muskogee, Ottawa, Payne, Sequoyah, Tulsa, Washington)"
"Androsace","rockjasmine","OK(Alfalfa, Blaine, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Craig, Creek, Garfield, Grady, Kingfisher, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Nowata, Oklahoma, Payne, Pontotoc, Tulsa, Woods, Woodward)"
"Androsace occidentalis","western rockjasmine","OK(Alfalfa, Blaine, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Craig, Creek, Garfield, Grady, Kingfisher, Logan, Marshall, Mayes, McClain, Murray, Muskogee, Nowata, Oklahoma, Payne, Pontotoc, Tulsa, Woods, Woodward)"
"Androstephium","funnel lily","OK(Blaine, Bryan, Canadian, Carter, Cleveland, Comanche, Ellis, Garfield, Grady, Greer, Johnston, Kay, Kingfisher, Lincoln, Logan, Murray, Oklahoma, Pawnee, Payne, Pontotoc, Roger Mills, Stephens, Woods)"
"Androstephium coeruleum","blue funnel lily","OK(Blaine, Bryan, Canadian, Carter, Cleveland, Comanche, Ellis, Garfield, Grady, Greer, Johnston, Kay, Kingfisher, Lincoln, Logan, Murray, Oklahoma, Pawnee, Payne, Pontotoc, Roger Mills, Stephens, Woods)"
"Anemone","anemone","OK(Adair, Alfalfa, Atoka, Blaine, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Creek, Custer, Delaware, Ellis, Garfield, Grady, Greer, Hughes, Jackson, Jefferson, Johnston, Kingfisher, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Tulsa, Washington, Woods)"
"Anemone berlandieri","tenpetal thimbleweed","OK(Blaine, Bryan, Cherokee, Comanche, Ellis, Greer, Jackson, Johnston, Marshall, McCurtain, Murray, Muskogee, Pottawatomie, Sequoyah)"
"Anemone caroliniana","Carolina anemone","OK(Alfalfa, Atoka, Bryan, Caddo, Canadian, Cherokee, Choctaw, Cleveland, Coal, Comanche, Cotton, Creek, Custer, Garfield, Grady, Greer, Hughes, Jackson, Jefferson, Kingfisher, Le Flore, Lincoln, Logan, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Okfuskee, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pottawatomie, Pushmataha, Roger Mills, Rogers, Sequoyah, Tulsa, Washington, Woods)"
"Anemone virginiana","tall thimbleweed","OK(Adair, Bryan, Cherokee, Delaware, Mayes, McCurtain, Muskogee)"
"Anemone virginiana var. virginiana","tall thimbleweed","OK(Adair, Bryan, Cherokee, Delaware, Mayes, McCurtain, Muskogee)"
"Anethum","dill","OK(Kingfisher, Mayes, Pawnee)"
"Anethum graveolens","dill","OK(Kingfisher, Mayes, Pawnee)"
"Antennaria","pussytoes","OK(Adair, Atoka, Bryan, Caddo, Canadian, Cherokee, Cimarron, Cleveland, Comanche, Creek, Delaware, Grady, Hughes, Johnston, Latimer, Le Flore, Lincoln, Logan, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa)"
"Antennaria neglecta","field pussytoes","OK(Bryan, Cleveland, Creek, Lincoln, Marshall, Murray, Muskogee, Oklahoma, Ottawa, Payne, Pottawatomie)"
"Antennaria parlinii","Parlin's pussytoes","OK(Adair, Atoka, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Delaware, Grady, Hughes, Johnston, Latimer, Le Flore, Lincoln, Logan, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa)"
"Antennaria parlinii ssp. fallax","Parlin's pussytoes","OK(Adair, Atoka, Bryan, Caddo, Canadian, Cherokee, Cleveland, Comanche, Delaware, Grady, Hughes, Johnston, Latimer, Le Flore, Lincoln, Logan, Marshall, Mayes, McCurtain, Murray, Muskogee, Oklahoma, Okmulgee, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Pushmataha, Rogers, Seminole, Sequoyah, Tulsa)"
"Antennaria parvifolia","small-leaf pussytoes","OK(Cimarron)"
"Anthemis","chamomile","OK(Blaine, Bryan, Cherokee, Choctaw, Cleveland, Delaware, Haskell, Hughes, Latimer, Le Flore, Mayes, McCurtain, Murray, Muskogee, Pittsburg, Pushmataha, Tulsa)"
"Anthemis cotula","stinking chamomile","OK(Blaine, Bryan, Cherokee, Choctaw, Cleveland, Delaware, Haskell, Hughes, Latimer, Le Flore, Mayes, McCurtain, Murray, Muskogee, Pittsburg, Pushmataha, Tulsa)"
"Aphanostephus","dozedaisy","OK(Alfalfa, Beckham, Blaine, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Cotton, Custer, Dewey, Ellis, Grady, Grant, Greer, Harmon, Jackson, Kingfisher, Kiowa, Logan, Love, Major, Marshall, McClain, Muskogee, Oklahoma, Payne, Roger Mills, Tillman, Tulsa, Washita, Woodward)"
"Aphanostephus pilosus","hairy dozedaisy","OK(Caddo, Cimarron, Comanche, Cotton, Custer, Greer, Harmon, Kiowa, Tillman)"
"Aphanostephus ramosissimus","plains dozedaisy","OK(Harmon, Jackson, Tillman)"
"Aphanostephus ramosissimus var. ramosissimus","plains dozedaisy","OK(Harmon, Jackson, Tillman)"
"Aphanostephus skirrhobasis","Arkansas dozedaisy","OK(Alfalfa, Beckham, Blaine, Bryan, Caddo, Canadian, Cleveland, Comanche, Cotton, Custer, Dewey, Ellis, Grady, Grant, Greer, Harmon, Kingfisher, Kiowa, Logan, Love, Major, Marshall, McClain, Muskogee, Oklahoma, Payne, Roger Mills, Tillman, Tulsa, Washita, Woodward)"
"Aphanostephus skirrhobasis var. skirrhobasis","Arkansas dozedaisy","OK(Alfalfa, Beckham, Blaine, Bryan, Caddo, Canadian, Cleveland, Comanche, Cotton, Custer, Dewey, Ellis, Grady, Grant, Greer, Harmon, Kingfisher, Kiowa, Logan, Love, Major, Marshall, McClain, Muskogee, Oklahoma, Payne, Roger Mills, Tillman, Tulsa, Washita, Woodward)"
"Apios","groundnut","OK(Bryan, Canadian, Cleveland, Delaware, Grady, Latimer, Marshall, McCurtain, Muskogee, Oklahoma, Ottawa, Pontotoc, Sequoyah, Tulsa)"
"Apios americana","groundnut","OK(Bryan, Canadian, Cleveland, Delaware, Grady, Latimer, Marshall, McCurtain, Muskogee, Oklahoma, Ottawa, Pontotoc, Sequoyah, Tulsa)"
"Aplectrum","Adam and Eve","OK(Le Flore, McCurtain)"
"Aplectrum hyemale","Adam and Eve","OK(Le Flore, McCurtain)"
"Apocynum","dogbane","OK(Adair, Alfalfa, Beaver, Beckham, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Custer, Delaware, Garfield, Grady, Grant, Greer, Haskell, Johnston, Kingfisher, Lincoln, Logan, Major, Marshall, McClain, McIntosh, Murray, Muskogee, Oklahoma, Osage, Pawnee, Payne, Pottawatomie, Roger Mills, Sequoyah, Tulsa, Washington, Woods, Woodward)"
"Apocynum androsaemifolium","spreading dogbane","OK(Adair)"
"Apocynum cannabinum","Indianhemp","OK(Alfalfa, Beaver, Beckham, Caddo, Canadian, Carter, Cherokee, Cleveland, Comanche, Custer, Delaware, Garfield, Grady, Grant, Greer, Haskell, Johnston, Kingfisher, Lincoln, Logan, Major, Marshall, McClain, McIntosh, Murray, Muskogee, Oklahoma, Osage, Pawnee, Payne, Pottawatomie, Roger Mills, Sequoyah, Tulsa, Washington, Woods, Woodward)"
"Aquilegia","columbine","OK(Adair, Cherokee, Delaware, Mayes, Ottawa, Rogers, Tulsa)"
"Aquilegia canadensis","red columbine","OK(Adair, Cherokee, Delaware, Mayes, Ottawa, Rogers, Tulsa)"
"Arabis","rockcress","OK(Adair, Cherokee, Cimarron, Cleveland, Comanche, Delaware, Johnston, Latimer, Le Flore, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Osage, Ottawa, Pontotoc, Sequoyah, Washington)"
"Arabis canadensis","sicklepod","OK(Adair, Cherokee, Cleveland, Delaware, Johnston, Latimer, Le Flore, Love, Marshall, Mayes, McCurtain, Murray, Muskogee, Osage, Ottawa, Pontotoc, Sequoyah)"
"Arabis fendleri","Fendler's rockcress","OK(Cimarron)"
"Arabis fendleri var. fendleri","Fendler's rockcress","OK(Cimarron)"
"Arabis laevigata","smooth rockcress","OK(Comanche, Ottawa)"
"Arabis laevigata var. laevigata","smooth rockcress","OK(Comanche, Ottawa)"
"Arabis shortii","Short's rockcress","OK(Muskogee, Washington)"
"Arctium","burdock","OK(Adair, Bryan, Delaware, Muskogee, Ottawa)"
"Arctium minus","lesser burdock","OK(Adair, Bryan, Delaware, Muskogee, Ottawa)"
"Arenaria","sandwort","OK(Bryan, Caddo, Cherokee, Cimarron, Cleveland, Delaware, Grady, Grant, Kingfisher, Lincoln, Mayes, McCurtain, Murray, Muskogee, Ottawa, Pottawatomie, Sequoyah, Washington, Woods)"
"Arenaria hookeri","Hooker's sandwort","OK(Cimarron)"
"Arenaria serpyllifolia","thymeleaf sandwort","OK(Bryan, Caddo, Cherokee, Cleveland, Delaware, Grady, Grant, Kingfisher, Lincoln, Mayes, McCurtain, Murray, Muskogee, Ottawa, Pottawatomie, Sequoyah, Washington, Woods)"
"Argemone","pricklypoppy","OK(Alfalfa, Bryan, Caddo, Canadian, Cimarron, Cleveland, Comanche, Custer, Grady, Grant, Jackson, Jefferson, Kingfisher, Logan, Love, Marshall, Murray, Payne, Roger Mills, Texas, Tulsa, Woods)"
"Argemone polyanthemos","crested pricklypoppy","OK(Alfalfa, Bryan, Caddo, Canadian, Cleveland, Comanche, Custer, Grady, Grant, Jackson, Jefferson, Kingfisher, Logan, Love, Marshall, Murray, Payne, Roger Mills, Tulsa, Woods)"
"Argemone squarrosa","hedgehog pricklypoppy","OK(Cimarron, Texas)"
"Argemone squarrosa ssp. squarrosa","hedgehog pricklypoppy","OK(Cimarron, Texas)"
"Argyrochosma","false cloak fern","OK(Caddo, Cherokee, Delaware, Grady, Murray, Muskogee, Osage, Ottawa, Tulsa)"
"Argyrochosma dealbata","powdery false cloak fern","OK(Caddo, Cherokee, Delaware, Grady, Murray, Muskogee, Osage, Ottawa, Tulsa)"
"Argythamnia","silverbush","OK(Blaine, Bryan, Cimarron, Comanche, Custer, Grady, Greer, Harmon, Jackson, Marshall, McClain, Murray, Roger Mills, Tillman, Woodward)"
"Argythamnia humilis","low silverbush","OK(Blaine, Cimarron, Harmon, Jackson, Tillman, Woodward)"
"Argythamnia humilis var. humilis","low silverbush","OK(Blaine, Harmon, Jackson, Tillman, Woodward)"
"Argythamnia humilis var. laevis","low silverbush","OK(Cimarron)"
"Argythamnia mercurialina","tall silverbush","OK(Blaine, Bryan, Cimarron, Comanche, Custer, Grady, Greer, Harmon, Jackson, Marshall, McClain, Murray, Roger Mills)"
"Argythamnia mercurialina var. mercurialina","tall silverbush","OK(Blaine, Bryan, Cimarron, Comanche, Custer, Grady, Greer, Harmon, Jackson, Marshall, McClain, Murray, Roger Mills)"
"Arisaema","Jack in the pulpit","OK(Adair, Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Coal, Comanche, Creek, Custer, Delaware, Grady, Le Flore, Lincoln, Logan, Mayes, McCurtain, Murray, Muskogee, Okmulgee, Osage, Ottawa, Payne, Pontotoc, Pushmataha, Sequoyah, Tulsa)"
"Arisaema dracontium","green dragon","OK(Bryan, Caddo, Canadian, Carter, Cherokee, Cleveland, Coal, Comanche, Custer, Delaware, Grady, Lincoln, Logan, McCurtain, Murray, Muskogee, Okmulgee, Osage, Ottawa, Pontotoc, Sequoyah)"
"Arisaema triphyllum","Jack in the pulpit","OK(Adair, Cherokee, Cleveland, Creek, Delaware, Le Flore, Mayes, Muskogee, Payne, Pushmataha, Tulsa)"
"Arisaema triphyllum ssp. triphyllum","Jack in the pulpit","OK(Adair, Cherokee, Cleveland, Creek, Delaware, Le Flore, Mayes, Muskogee, Payne, Pushmataha, Tulsa)"
"Aristida","threeawn","OK(Adair, Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cherokee, Choctaw, Cimarron, Cleveland, Coal, Comanche, Cotton, Craig, Creek, Custer, Delaware, Ellis, Grady, Grant, Greer, Harmon, Harper, Jackson, Johnston, Kay, Kingfisher, Kiowa, Le Flore, Lincoln, Logan, Love, Major, Marshall, Mayes, McClain, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Osage, Ottawa, Payne, Pittsburg, Pontotoc, Pottawatomie, Roger Mills, Rogers, Sequoyah, Texas, Tillman, Tulsa, Wagoner, Washita, Woods)"
"Aristida adscensionis","sixweeks threeawn","OK(Beaver, Caddo, Cimarron, Cleveland, Roger Mills, Texas, Woods)"
"Aristida arizonica","Arizona threeawn","OK(Cimarron, Roger Mills)"
"Aristida basiramea","forked threeawn","OK(Bryan, Canadian, Cleveland, Logan, McClain, Murray, Oklahoma, Payne)"
"Aristida dichotoma","churchmouse threeawn","OK(Adair, Caddo, Cherokee, Cleveland, Comanche, Delaware, Johnston, McCurtain, McIntosh, Muskogee, Osage, Payne, Pottawatomie, Sequoyah, Tulsa)"
"Aristida dichotoma var. curtissii","Curtis' threeawn","OK(Adair, Caddo, Cherokee, Cleveland, Comanche, Johnston, Muskogee, Osage, Payne, Pottawatomie, Sequoyah)"
"Aristida dichotoma var. dichotoma","churchmouse threeawn","OK(Cherokee, Delaware, McCurtain, McIntosh, Payne, Sequoyah, Tulsa)"
"Aristida divaricata","poverty threeawn","OK(Cimarron)"
"Aristida havardii","Havard's threeawn","OK(Cimarron)"
"Aristida longespica","slimspike threeawn","OK(Bryan, Cherokee, Choctaw, Cleveland, Comanche, Craig, Delaware, Harper, Johnston, Logan, Mayes, Muskogee, Osage, Ottawa, Payne, Sequoyah)"
"Aristida oligantha","prairie threeawn","OK(Adair, Alfalfa, Beckham, Blaine, Bryan, Cherokee, Cleveland, Comanche, Creek, Delaware, Grant, Harper, Kay, Kiowa, Le Flore, Lincoln, Logan, Marshall, Mayes, McIntosh, Muskogee, Oklahoma, Osage, Payne, Pittsburg, Pontotoc, Pottawatomie, Rogers, Sequoyah, Tulsa, Woods)"
"Aristida purpurascens","arrowfeather threeawn","OK(Adair, Bryan, Cherokee, Cleveland, Delaware, Jackson, Johnston, Kay, Logan, Love, Mayes, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Payne, Pontotoc, Rogers, Sequoyah, Wagoner)"
"Aristida purpurascens var. purpurascens","arrowfeather threeawn","OK(Adair, Bryan, Cherokee, Cleveland, Delaware, Jackson, Johnston, Kay, Logan, Love, Mayes, McCurtain, McIntosh, Murray, Muskogee, Noble, Oklahoma, Payne, Pontotoc, Rogers, Sequoyah, Wagoner)"
"Aristida purpurea","purple threeawn","OK(Alfalfa, Beaver, Beckham, Blaine, Bryan, Caddo, Carter, Cimarron, Cleveland, Coal, Comanche, Cotton, Custer, Ellis, Grady, Grant, Greer, Harmon, Harper, Jackson, Johnston, Kingfisher, Kiowa, Logan, Major, Murray, Noble, Oklahoma, Payne, Pontotoc, Roger Mills, Texas, Tillman, Washita, Woods)"
"Aristida purpurea var. longiseta","Fendler threeawn","OK(Beaver, Beckham, Bryan, Carter, Cimarron, Comanche, Custer, Ellis, Grant, Harmon, Harper, Johnston, Kingfisher, Murray, Oklahoma, Payne, Roger Mills, Texas)"
"Aristida purpurea var. nealleyi","blue threeawn","OK(Beckham, Cimarron, Cleveland, Greer, Harmon, Murray, Roger Mills)"
"Aristida purpurea var. wrightii","Wright's threeawn","OK(Cimarron, Cleveland, Jackson, Murray, Roger Mills)"
"Aristolochia","dutchman's pipe","OK(Bryan, Garvin, Johnston, Latimer, Muskogee, Nowata, Ottawa, Pawnee, Washington)"
"Aristolochia tomentosa","woolly dutchman's pipe","OK(Bryan, Garvin, Johnston, Latimer, Muskogee, Nowata, Ottawa, Pawnee, Washington)"
"Arnoglossum","Indian plantain","OK(Atoka, Bryan, Carter, Cherokee, Choctaw, Cleveland, Haskell, Johnston, Latimer, Le Flore, Love, Marshall, McCurtain, Murray, Muskogee, Osage, Ottawa, Pawnee, Pittsburg, Pontotoc, Pottawatomie, Tulsa, Wagoner, Washington)"
"Arnoglossum atriplicifolium","pale Indian plantain","OK(Pawnee)"
"Arnoglossum plantagineum","groovestem Indian plantain","OK(Atoka, Bryan, Carter, Cherokee, Choctaw, Cleveland, Haskell, Johnston, Latimer, Le Flore, Love, Marshall, McCurtain, Murray, Muskogee, Osage, Ottawa, Pittsburg, Pontotoc, Pottawatomie, Tulsa, Wagoner, Washington)"
"Artemisia","sagebrush","OK(Beaver, Beckham, Blaine, Bryan, Caddo, Canadian, Carter, Cimarron, Cleveland, Comanche, Cotton, Creek, Custer, Delaware, Dewey, Ellis, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kay, Kingfisher, Kiowa, Logan, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Osage, Payne, Pittsburg, Pontotoc, Roger Mills, Rogers, Sequoyah, Texas, Tulsa, Woods, Woodward)"
"Artemisia campestris","field sagewort","OK(Cimarron, Custer, Ellis, Roger Mills, Woods, Woodward)"
"Artemisia campestris ssp. caudata","field sagewort","OK(Cimarron, Custer, Ellis, Roger Mills, Woods, Woodward)"
"Artemisia carruthii","Carruth's sagewort","OK(Beaver, Caddo, Canadian, Cimarron, Comanche, Murray, Muskogee, Texas)"
"Artemisia dracunculus","tarragon","OK(Blaine, Caddo, Cimarron, Comanche, Major, Rogers, Woods)"
"Artemisia filifolia","sand sagebrush","OK(Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Cotton, Custer, Dewey, Harmon, Harper, Jackson, Kingfisher, Major, Roger Mills, Texas, Woods, Woodward)"
"Artemisia ludoviciana","white sagebrush","OK(Beckham, Blaine, Bryan, Caddo, Carter, Cimarron, Cleveland, Comanche, Creek, Custer, Delaware, Dewey, Garfield, Grady, Grant, Greer, Harmon, Harper, Jackson, Kay, Kiowa, Logan, Major, Marshall, Mayes, McClain, Murray, Muskogee, Oklahoma, Osage, Payne, Pittsburg, Pontotoc, Roger Mills, Rogers, Sequoyah, Tulsa, Woods)"
"Artemisia ludoviciana ssp. ludoviciana","white sagebrush","OK(Beckham, Blaine, Bryan, Caddo, Carter, Cimarron, Cleveland, Comanche, Custer, Delaware, Dewey, Garfield, Grady, Grant, Greer, Harmon, Harper, Major, Marshall, Muskogee, Oklahoma, Roger Mills, Rogers, Woods)"
