"","",""
"Abronia","sand verbena","ND(McKenzie)"
"Androsace septentrionalis ssp. puberulenta","pygmyflower rockjasmine","ND(Benson, Billings, Bottineau, Burke, Cavalier, Divide, Golden Valley, Kidder, McKenzie, Mountrail, Pembina, Pierce, Ramsey, Rolette, Stark, Steele, Stutsman, Walsh, Ward, Williams)"
"Anemone","anemone","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Anemone canadensis","Canadian anemone","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Anemone cylindrica","candle anemone","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Renville, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Ward, Wells, Williams)"
"Anemone multifida","Pacific anemone","ND(Benson, Burke, Golden Valley, Mountrail, Rolette, Williams)"
"Anemone multifida var. multifida","Pacific anemone","ND(Benson, Burke, Golden Valley, Mountrail, Rolette, Williams)"
"Anemone quinquefolia","wood anemone","ND(Cavalier, Emmons, Mountrail, Pembina, Ransom, Sargent, Williams)"
"Anemone quinquefolia var. bifolia","twoleaf anemone","ND(Cavalier, Emmons, Mountrail, Pembina, Ransom, Sargent, Williams)"
"Anemone virginiana","tall thimbleweed","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, Mercer, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Sioux, Steele, Ward, Williams)"
"Anemone virginiana var. virginiana","tall thimbleweed","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Grand Forks, Mercer, Mountrail, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Sioux, Steele, Ward, Williams)"
"Anethum","dill","ND(Billings, Cass, Kidder, McIntosh, Pembina, Richland, Stark, Stutsman)"
"Anethum graveolens","dill","ND(Billings, Cass, Kidder, McIntosh, Pembina, Richland, Stark, Stutsman)"
"Antennaria","pussytoes","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Divide, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Antennaria neglecta","field pussytoes","ND(Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Griggs, LaMoure, McHenry, McIntosh, McLean, Mountrail, Pembina, Ramsey, Ransom, Richland, Sargent, Stark, Steele, Stutsman, Williams)"
"Antennaria parlinii","Parlin's pussytoes","ND(Billings, Bowman, Dunn, Emmons, Golden Valley, McKenzie, Mercer, Morton, Mountrail, Pembina, Richland, Sioux, Slope, Stark, Ward, Williams)"
"Antennaria parlinii ssp. fallax","Parlin's pussytoes","ND(Billings, Bowman, Dunn, Emmons, Golden Valley, McKenzie, Mercer, Morton, Mountrail, Pembina, Richland, Sioux, Slope, Stark, Ward, Williams)"
"Antennaria parvifolia","small-leaf pussytoes","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cavalier, Dunn, Emmons, Golden Valley, Griggs, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Richland, Rolette, Sheridan, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Antennaria rosea","rosy pussytoes","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Divide, Emmons, Golden Valley, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Mountrail, Oliver, Pembina, Pierce, Ramsey, Rolette, Sheridan, Slope, Steele, Stutsman, Ward, Williams)"
"Antennaria rosea ssp. rosea","rosy pussytoes","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Cavalier, Divide, Emmons, Golden Valley, Kidder, Logan, McHenry, McKenzie, McLean, Mercer, Mountrail, Oliver, Pembina, Pierce, Ramsey, Rolette, Sheridan, Slope, Steele, Stutsman, Ward, Williams)"
"Anthemis","chamomile","ND(Billings, Bottineau, Cass, Golden Valley, Grand Forks, Pembina, Richland, Rolette, Sheridan, Wells)"
"Anthemis arvensis","corn chamomile","ND(Grand Forks)"
"Anthemis cotula","stinking chamomile","ND(Billings, Bottineau, Cass, Golden Valley, Grand Forks, Pembina, Richland, Sheridan, Wells)"
"Anthemis tinctoria","golden chamomile","ND(Bottineau, Pembina, Rolette)"
"Apios","groundnut","ND(Ransom)"
"Apios americana","groundnut","ND(Ransom)"
"Apocynum","dogbane","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Apocynum ×floribundum","","ND(Cass)"
"Apocynum androsaemifolium","spreading dogbane","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dunn, Emmons, Golden Valley, Grand Forks, Grant, Kidder, McKenzie, McLean, Morton, Mountrail, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Slope, Stark, Stutsman, Ward)"
"Apocynum cannabinum","Indianhemp","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Williams)"
"Aquilegia","columbine","ND(Barnes, Benson, Bottineau, Burleigh, Cass, Cavalier, Grand Forks, Grant, Griggs, Mercer, Morton, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Sioux, Stutsman, Walsh)"
"Aquilegia canadensis","red columbine","ND(Barnes, Benson, Bottineau, Burleigh, Cass, Cavalier, Grand Forks, Grant, Griggs, Mercer, Morton, Oliver, Pembina, Ransom, Richland, Rolette, Sargent, Sioux, Stutsman, Walsh)"
"Arabis","rockcress","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Ward, Wells, Williams)"
"Arabis ×divaricarpa","spreadingpod rockcress","ND(Barnes, Benson, Bottineau, Burke, Cass, Cavalier, Divide, Dunn, Eddy, Mountrail, Pembina, Pierce, Ransom, Richland, Slope, Stark, Towner, Ward, Williams)"
"Arabis canadensis","sicklepod","ND(Sargent)"
"Arabis drummondii","Drummond's rockcress","ND(Benson, Billings, Bottineau, Divide, Dunn, Golden Valley, Grant, Pembina, Ramsey, Rolette)"
"Arabis glabra","tower rockcress","ND(Burke, Dunn, Mountrail, Pembina, Ramsey, Williams)"
"Arabis hirsuta","hairy rockcress","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Arabis hirsuta var. pycnocarpa","creamflower rockcress","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Arabis holboellii","Holboell's rockcress","ND(Benson, Billings, Bowman, Burke, Burleigh, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Hettinger, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Rolette, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Arabis holboellii var. collinsii","Collins' rockcress","ND(McHenry, McLean, Mercer, Oliver, Rolette, Slope)"
"Arabis holboellii var. pinetorum","Holboell's rockcress","ND(Benson, Billings, Bowman, Burke, Burleigh, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Hettinger, McHenry, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Rolette, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Aralia","spikenard","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Grand Forks, Griggs, LaMoure, McKenzie, McLean, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Sheridan, Steele, Stutsman, Ward, Wells, Williams)"
"Aralia nudicaulis","wild sarsaparilla","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Cavalier, Dunn, Grand Forks, Griggs, LaMoure, McKenzie, McLean, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Sheridan, Steele, Stutsman, Ward, Wells, Williams)"
"Arctium","burdock","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Ransom, Richland, Sargent, Slope, Stark, Steele, Stutsman, Ward)"
"Arctium minus","lesser burdock","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Emmons, Golden Valley, Grand Forks, Griggs, Kidder, LaMoure, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Pembina, Ransom, Richland, Sargent, Slope, Stark, Steele, Stutsman, Ward)"
"Arctium tomentosum","woolly burdock","ND(Cass, Grand Forks, Pembina, Ransom)"
"Arctostaphylos","manzanita","ND(Adams, Billings, Burleigh, Cavalier, Dunn, Golden Valley, Hettinger, McKenzie, Morton, Mountrail, Pembina, Richland, Slope)"
"Arctostaphylos uva-ursi","kinnikinnick","ND(Adams, Billings, Burleigh, Cavalier, Dunn, Golden Valley, Hettinger, McKenzie, Morton, Mountrail, Pembina, Richland, Slope)"
"Argemone","pricklypoppy","ND(McKenzie)"
"Argemone polyanthemos","crested pricklypoppy","ND(McKenzie)"
"Argentina","silverweed","ND(Adams, Barnes, Benson, Bottineau, Burke, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Argentina anserina","silverweed cinquefoil","ND(Adams, Barnes, Benson, Bottineau, Burke, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Steele, Stutsman, Towner, Walsh, Ward, Wells, Williams)"
"Arisaema","Jack in the pulpit","ND(Cass, Grand Forks, Ransom, Richland, Sargent)"
"Arisaema triphyllum","Jack in the pulpit","ND(Cass, Grand Forks, Ransom, Richland, Sargent)"
"Arisaema triphyllum ssp. triphyllum","Jack in the pulpit","ND(Cass, Grand Forks, Ransom, Richland, Sargent)"
"Aristida","threeawn","ND(Adams, Barnes, Billings, Burleigh, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Ransom, Sargent, Slope, Stark, Williams)"
"Aristida purpurea","purple threeawn","ND(Adams, Barnes, Billings, Burleigh, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Ransom, Sargent, Slope, Stark, Williams)"
"Aristida purpurea var. longiseta","Fendler threeawn","ND(Adams, Barnes, Billings, Burleigh, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Ransom, Sargent, Slope, Stark, Williams)"
"Armoracia","armoracia","ND(Cass, Oliver)"
"Armoracia rusticana","horseradish","ND(Cass, Oliver)"
"Arnica","arnica","ND(Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Grand Forks, Grant, Kidder, Logan, McKenzie, McLean, Morton, Mountrail, Oliver, Pierce, Rolette, Slope, Stark, Ward, Wells, Williams)"
"Arnica cordifolia","heartleaf arnica","ND(Logan)"
"Arnica fulgens","foothill arnica","ND(Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Divide, Dunn, Emmons, Grand Forks, Grant, Kidder, Logan, McKenzie, McLean, Morton, Mountrail, Oliver, Pierce, Rolette, Slope, Stark, Ward, Wells, Williams)"
"Artemisia","sagebrush","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Artemisia absinthium","absinthium","ND(Barnes, Benson, Billings, Bottineau, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Eddy, Emmons, Foster, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Wells, Williams)"
"Artemisia biennis","biennial wormwood","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Emmons, Golden Valley, Grant, Griggs, Kidder, McHenry, McLean, Morton, Mountrail, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Sheridan, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Williams)"
"Artemisia biennis var. biennis","biennial wormwood","ND(Barnes, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Emmons, Golden Valley, Grant, Griggs, Kidder, McHenry, McLean, Morton, Mountrail, Nelson, Pembina, Ransom, Richland, Rolette, Sargent, Sheridan, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Williams)"
"Artemisia campestris","field sagewort","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Sheridan, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Artemisia campestris ssp. caudata","field sagewort","ND(Barnes, Benson, Billings, Bottineau, Burke, Cass, Divide, Dunn, Eddy, Emmons, Golden Valley, Grant, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Sheridan, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Artemisia cana","silver sagebrush","ND(Barnes, Billings, Bowman, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, Griggs, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Artemisia cana ssp. cana","silver sagebrush","ND(Barnes, Billings, Bowman, Burleigh, Divide, Dunn, Emmons, Golden Valley, Grant, Griggs, McKenzie, McLean, Mercer, Morton, Mountrail, Pembina, Sioux, Slope, Stark, Stutsman, Ward, Williams)"
"Artemisia dracunculus","tarragon","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burleigh, Cass, Divide, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Ward, Wells, Williams)"
"Artemisia frigida","prairie sagewort","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, McHenry, McIntosh, McKenzie, McLean, Mercer, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Towner, Ward, Wells, Williams)"
"Artemisia longifolia","longleaf wormwood","ND(Billings, Bowman, Burke, Burleigh, Dunn, Emmons, Golden Valley, Grant, McKenzie, McLean, Morton, Mountrail, Sioux, Slope, Stark, Williams)"
"Artemisia ludoviciana","white sagebrush","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Artemisia ludoviciana ssp. ludoviciana","white sagebrush","ND(Adams, Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Cavalier, Dickey, Divide, Dunn, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Hettinger, Kidder, LaMoure, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Nelson, Oliver, Pembina, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Slope, Stark, Steele, Stutsman, Towner, Traill, Walsh, Ward, Wells, Williams)"
"Artemisia tridentata","big sagebrush","ND(Billings, Bowman, Golden Valley, McKenzie, Slope)"
"Asarum","wildginger","ND(Cavalier, Pembina, Ransom, Richland)"
"Asarum canadense","Canadian wildginger","ND(Cavalier, Pembina, Ransom, Richland)"
"Asclepias","milkweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Burleigh, Cass, Dickey, Divide, Dunn, Eddy, Emmons, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, Logan, McHenry, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ramsey, Ransom, Renville, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Traill, Walsh, Ward, Wells, Williams)"
"Asclepias incarnata","swamp milkweed","ND(Barnes, Benson, Cass, Emmons, Grand Forks, Kidder, Logan, McHenry, Pembina, Ramsey, Ransom, Richland, Sargent, Stutsman)"
"Asclepias incarnata ssp. incarnata","swamp milkweed","ND(Barnes, Benson, Cass, Emmons, Grand Forks, Kidder, Logan, McHenry, Pembina, Ramsey, Ransom, Richland, Sargent, Stutsman)"
"Asclepias lanuginosa","sidecluster milkweed","ND(Dunn, Grant, Pembina, Stark, Stutsman, Ward)"
"Asclepias ovalifolia","oval-leaf milkweed","ND(Barnes, Benson, Bottineau, Burke, Burleigh, Cass, Dickey, Divide, Eddy, Kidder, LaMoure, McHenry, McIntosh, McLean, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ransom, Richland, Rolette, Sargent, Steele, Stutsman, Ward, Wells, Williams)"
"Asclepias pumila","plains milkweed","ND(Barnes, Bowman, Emmons, Golden Valley, Grant, McKenzie, Morton)"
"Asclepias speciosa","showy milkweed","ND(Barnes, Benson, Billings, Bottineau, Bowman, Burke, Cass, Dickey, Divide, Dunn, Eddy, Foster, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, McIntosh, McKenzie, Morton, Mountrail, Pembina, Ramsey, Ransom, Richland, Rolette, Sargent, Sheridan, Sioux, Slope, Stark, Stutsman, Walsh, Ward, Williams)"
"Asclepias sullivantii","prairie milkweed","ND(Cass, Richland)"
"Asclepias syriaca","common milkweed","ND(Barnes, Bottineau, Burleigh, Cass, Emmons, Grand Forks, Griggs, Logan, McLean, Morton, Oliver, Pembina, Ransom, Richland, Sargent, Stutsman, Traill, Walsh, Ward)"
"Asclepias verticillata","whorled milkweed","ND(Barnes, Billings, Burleigh, Cass, Dickey, Divide, Eddy, Emmons, Golden Valley, Grand Forks, Grant, Griggs, Kidder, LaMoure, McIntosh, McKenzie, McLean, Mercer, Morton, Mountrail, Oliver, Pierce, Ramsey, Ransom, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Ward, Williams)"
"Asclepias viridiflora","green comet milkweed","ND(Barnes, Benson, Billings, Burke, Burleigh, Dunn, Eddy, Emmons, Golden Valley, Grant, Kidder, McHenry, McKenzie, Mercer, Morton, Mountrail, Oliver, Pembina, Pierce, Ransom, Renville, Richland, Sargent, Sheridan, Sioux, Slope, Stark, Steele, Stutsman, Ward, Williams)"
