"","",""
"Abies","fir","VA(Grayson, Madison, Page, Smyth)"
"Agalinis obtusifolia","tenlobe false foxglove","VA(Albemarle, Amelia, Campbell, Dinwiddie, Fairfax, Fluvanna, Greene, Greensville, James City, Louisa, Lunenburg, Northumberland, Prince Edward, Prince George, Spotsylvania, Suffolk (city), Surry, Sussex)"
"Agalinis paupercula","smallflower false foxglove","VA(Washington)"
"Agalinis paupercula var. paupercula","smallflower false foxglove","VA(Washington)"
"Agalinis purpurea","purple false foxglove","VA(Accomack, Albemarle, Amelia, Appomattox, Augusta, Bath, Bland, Brunswick, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Culpeper, Cumberland, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Loudoun, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Rappahannock, Richmond, Rockbridge, Shenandoah, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Wise, Wythe, York)"
"Agalinis setacea","threadleaf false foxglove","VA(Caroline, Charles City, Culpeper, Dinwiddie, Fairfax, Gloucester, Greene, Greensville, Hanover, Henrico, Isle of Wight, James City, King William, Lancaster, Pittsylvania, Prince George, Southampton, Spotsylvania, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland)"
"Agalinis tenuifolia","slenderleaf false foxglove","VA(Amelia, Arlington, Augusta, Bedford, Botetourt, Buckingham, Caroline, Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Henrico, Isle of Wight, Lee, Loudoun, Louisa, Montgomery, Orange, Patrick, Pittsylvania, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Surry, Sussex, Warren, Washington, Wythe)"
"Agalinis tenuifolia var. tenuifolia","slenderleaf false foxglove","VA(Amelia, Arlington, Augusta, Bedford, Botetourt, Buckingham, Caroline, Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Henrico, Isle of Wight, Lee, Loudoun, Louisa, Montgomery, Orange, Patrick, Pittsylvania, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Surry, Sussex, Warren, Washington, Wythe)"
"Agastache","giant hyssop","VA(Albemarle, Amelia, Amherst, Arlington, Augusta, Bath, Bedford, Campbell, Caroline, Carroll, Charles City, Charlotte, Clarke, Craig, Cumberland, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Giles, Goochland, Greene, Halifax, Henrico, Isle of Wight, King George, King and Queen, Loudoun, Madison, Middlesex, Montgomery, Nelson, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince William, Rappahannock, Roanoke, Rockbridge, Rockingham, Shenandoah, Smyth, Surry, Warren, Wythe)"
"Agastache nepetoides","yellow giant hyssop","VA(Albemarle, Amelia, Amherst, Arlington, Bedford, Campbell, Caroline, Carroll, Charles City, Clarke, Craig, Cumberland, Fairfax, Fauquier, Floyd, Fluvanna, Giles, Goochland, Greene, Halifax, Henrico, Isle of Wight, King George, King and Queen, Loudoun, Madison, Middlesex, Montgomery, Nelson, Orange, Page, Patrick, Powhatan, Prince William, Rappahannock, Roanoke, Rockbridge, Shenandoah, Surry, Warren)"
"Agastache scrophulariifolia","purple giant hyssop","VA(Albemarle, Amherst, Augusta, Bath, Bedford, Campbell, Charlotte, Clarke, Fairfax, Fauquier, Franklin, Giles, Greene, Madison, Montgomery, Nelson, Page, Patrick, Pittsylvania, Rappahannock, Rockbridge, Rockingham, Smyth, Warren, Wythe)"
"Ageratina","snakeroot","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Ageratina altissima","white snakeroot","VA(Albemarle, Alleghany, Amelia, Amherst, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Sussex, Tazewell, Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Ageratina altissima var. roanensis","white snakeroot","VA(Grayson, Smyth, Washington)"
"Ageratina aromatica","lesser snakeroot","VA(Accomack, Alleghany, Amelia, Amherst, Augusta, Brunswick, Campbell, Caroline, Charles City, Chesapeake (city), Chesterfield, Craig, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Gloucester, Greensville, Halifax, Hanover, Henrico, Isle of Wight, James City, King William, Lancaster, Loudoun, Louisa, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, New Kent, Newport News (city), Northampton, Patrick, Prince Edward, Prince George, Prince William, Pulaski, Rockbridge, Rockingham, Scott, Shenandoah, Southampton, Suffolk (city), Surry, Sussex, Virginia Beach (city), Washington, Wise, York)"
"Agrimonia","agrimony","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Charles City, Charlotte, Chesapeake (city), Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Agrimonia gryposepala","tall hairy agrimony","VA(Accomack, Albemarle, Alleghany, Amherst, Augusta, Bedford, Botetourt, Campbell, Culpeper, Fairfax, Fauquier, Floyd, Frederick, Giles, Grayson, Greene, Halifax, Highland, James City, King George, Lee, Loudoun, Madison, Montgomery, Nelson, Nottoway, Orange, Page, Patrick, Pittsylvania, Prince Edward, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Surry, Tazewell, Warren, Washington, Westmoreland, Wythe, York)"
"Agrimonia microcarpa","smallfruit agrimony","VA(Chesapeake (city), Fairfax, Fauquier, Greensville, Isle of Wight, Loudoun, Northampton, Nottoway, Prince William, Southampton, Sussex)"
"Agrimonia parviflora","harvestlice","VA(Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Botetourt, Brunswick, Buchanan, Campbell, Charles City, Charlotte, Chesapeake (city), Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Grayson, Greene, Halifax, Henrico, Henry, James City, King and Queen, Lee, Loudoun, Louisa, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, New Kent, Nottoway, Orange, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Roanoke, Rockingham, Scott, Shenandoah, Smyth, Surry, Tazewell, Virginia Beach (city), Warren, Washington, Wise, York)"
"Agrimonia pubescens","soft agrimony","VA(Accomack, Albemarle, Amherst, Appomattox, Arlington, Augusta, Bedford, Brunswick, Buchanan, Buckingham, Campbell, Charles City, Charlotte, Chesapeake (city), Clarke, Culpeper, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Gloucester, Grayson, Halifax, Hampton (city), Hanover, Henry, Highland, Isle of Wight, James City, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Page, Pittsylvania, Powhatan, Prince Edward, Prince William, Rappahannock, Roanoke, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Sussex, Tazewell, Virginia Beach (city), Warren, Wise, York)"
"Agrimonia rostellata","beaked agrimony","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Augusta, Bedford, Brunswick, Campbell, Caroline, Charlotte, Clarke, Craig, Culpeper, Cumberland, Dinwiddie, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Gloucester, Greene, Halifax, Highland, Isle of Wight, James City, King George, Lee, Madison, Mecklenburg, Montgomery, Nelson, Newport News (city), Northampton, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Rockbridge, Shenandoah, Stafford, Surry, Sussex, Virginia Beach (city), Warren, York)"
"Agrostemma","corncockle","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Bath, Bedford, Brunswick, Buckingham, Campbell, Charles City, Charlotte, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Goochland, Grayson, Greene, Hanover, Henrico, Isle of Wight, James City, Lancaster, Lee, Loudoun, Lunenburg, Mecklenburg, Montgomery, New Kent, Nottoway, Orange, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Rockbridge, Russell, Scott, Smyth, Southampton, Stafford, Suffolk (city), Sussex, Tazewell, Washington, Westmoreland, Wythe, York)"
"Agrostemma githago","common corncockle","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Bath, Bedford, Brunswick, Buckingham, Campbell, Charles City, Charlotte, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Frederick, Giles, Goochland, Grayson, Greene, Hanover, Henrico, Isle of Wight, James City, Lancaster, Lee, Loudoun, Lunenburg, Mecklenburg, Montgomery, New Kent, Nottoway, Orange, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Richmond, Rockbridge, Russell, Scott, Smyth, Southampton, Stafford, Suffolk (city), Sussex, Tazewell, Washington, Westmoreland, Wythe, York)"
"Agrostis","bentgrass","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Agrostis capillaris","colonial bentgrass","VA(Alleghany, Augusta, Bland, Dickenson, Fairfax, Giles, Grayson, Greene, Hanover, Henrico, Highland, Loudoun, Madison, Montgomery, Nelson, Page, Patrick, Pulaski, Rockingham, Smyth, Spotsylvania, Suffolk (city), Tazewell, Virginia Beach (city))"
"Agrostis elliottiana","Elliott's bentgrass","VA(Arlington, Cumberland, Dinwiddie, Fairfax, Greensville, Middlesex, Powhatan, Prince Edward, Sussex)"
"Agrostis gigantea","redtop","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bedford, Bland, Brunswick, Buckingham, Campbell, Caroline, Carroll, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Northampton, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince William, Rappahannock, Richmond, Rockbridge, Rockingham, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Westmoreland, York)"
"Agrostis hyemalis","winter bentgrass","VA(Accomack, Albemarle, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Caroline, Charles City, Charlotte, Chesapeake (city), Chesterfield, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Giles, Grayson, Greene, Hampton (city), Hanover, Henrico, Henry, Highland, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Mecklenburg, Middlesex, Montgomery, Northampton, Nottoway, Orange, Page, Pittsylvania, Powhatan, Prince Edward, Prince William, Pulaski, Rappahannock, Richmond, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Southampton, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Washington, Westmoreland, Wise)"
"Agrostis perennans","upland bentgrass","VA(Accomack, Albemarle, Alleghany, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Bland, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Floyd, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hanover, Henrico, Highland, Isle of Wight, James City, King George, King William, King and Queen, Lee, Loudoun, Louisa, Lunenburg, Madison, Mathews, Middlesex, Montgomery, Nelson, New Kent, Newport News (city), Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Tazewell, Virginia Beach (city), Warren, Washington, Wise, Wythe, York)"
"Ailanthus","ailanthus","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Ailanthus altissima","tree of heaven","VA(Accomack, Albemarle, Alleghany, Amelia, Amherst, Appomattox, Arlington, Augusta, Bath, Bedford, Botetourt, Brunswick, Buchanan, Buckingham, Campbell, Caroline, Carroll, Charles City, Charlotte, Chesapeake (city), Chesterfield, Clarke, Craig, Culpeper, Cumberland, Dickenson, Dinwiddie, Essex, Fairfax, Fauquier, Fluvanna, Franklin, Frederick, Giles, Gloucester, Goochland, Grayson, Greene, Greensville, Halifax, Hampton (city), Hanover, Henrico, Henry, Isle of Wight, James City, King George, King William, King and Queen, Lancaster, Lee, Loudoun, Louisa, Lunenburg, Madison, Mecklenburg, Middlesex, Montgomery, Nelson, New Kent, Northampton, Northumberland, Nottoway, Orange, Page, Patrick, Pittsylvania, Powhatan, Prince Edward, Prince George, Prince William, Pulaski, Rappahannock, Richmond, Roanoke, Rockbridge, Rockingham, Russell, Scott, Shenandoah, Smyth, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Warren, Washington, Westmoreland, Wise, Wythe, York)"
"Aira","hairgrass","VA(Accomack, Albemarle, Amelia, Brunswick, Caroline, Charlotte, Chesapeake (city), Chesterfield, Cumberland, Dinwiddie, Essex, Fairfax, Fluvanna, Gloucester, Goochland, Greensville, Halifax, Hampton (city), Hanover, Henrico, Isle of Wight, James City, King George, King and Queen, Lancaster, Louisa, Lunenburg, Mathews, Mecklenburg, Middlesex, Northampton, Northumberland, Nottoway, Powhatan, Prince Edward, Prince George, Prince William, Richmond, Southampton, Spotsylvania, Stafford, Suffolk (city), Surry, Sussex, Virginia Beach (city), Westmoreland, York)"
