"","",""
"Abutilon","Indian mallow","SC(Kershaw)"
"Amianthium","amianthium","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Cherokee, Colleton, Darlington, Edgefield, Florence, Hampton, Horry, Jasper, Lancaster, Laurens, Oconee, Orangeburg, Richland, Spartanburg, Sumter)"
"Amianthium muscitoxicum","flypoison","SC(Abbeville, Aiken, Bamberg, Barnwell, Beaufort, Berkeley, Cherokee, Colleton, Darlington, Edgefield, Florence, Hampton, Horry, Jasper, Lancaster, Laurens, Oconee, Orangeburg, Richland, Spartanburg, Sumter)"
"Ammannia","redstem","SC(Aiken, Berkeley, Greenwood, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Orangeburg, Saluda, Spartanburg)"
"Ammannia coccinea","valley redstem","SC(Aiken, Berkeley, Greenwood, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Orangeburg, Saluda, Spartanburg)"
"Ammi","ammi","SC(Horry)"
"Ammi majus","large bullwort","SC(Horry)"
"Amorpha","false indigo","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Williamsburg)"
"Amorpha fruticosa","false indigo bush","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Charleston, Chester, Darlington, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lexington, Marlboro, McCormick, Newberry, Orangeburg, Pickens, Richland, Saluda, Williamsburg)"
"Amorpha georgiana","Georgia false indigo","SC(Florence)"
"Amorpha glabra","mountain false indigo","SC(Cherokee, Greenville, Oconee, Pickens)"
"Amorpha herbacea","clusterspike false indigo","SC(Abbeville, Aiken, Anderson, Berkeley, Chester, Chesterfield, Darlington, Edgefield, Fairfield, Georgetown, Horry, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, McCormick, Richland, Saluda)"
"Amorpha herbacea var. herbacea","clusterspike false indigo","SC(Abbeville, Aiken, Anderson, Berkeley, Chester, Chesterfield, Darlington, Edgefield, Fairfield, Georgetown, Horry, Kershaw, Lancaster, Laurens, Lexington, Marion, Marlboro, McCormick, Richland, Saluda)"
"Ampelaster","climbing aster","SC(Berkeley, Dorchester, Georgetown)"
"Ampelaster carolinianus","climbing aster","SC(Berkeley, Dorchester, Georgetown)"
"Ampelopsis","peppervine","SC(Aiken, Calhoun, Fairfield, Georgetown, Kershaw, Lancaster, Lexington, McCormick, Newberry, Orangeburg, Richland, Sumter)"
"Ampelopsis cordata","heartleaf peppervine","SC(Aiken, Calhoun, Fairfield, Georgetown, Kershaw, Lancaster, Lexington, McCormick, Newberry, Orangeburg, Richland, Sumter)"
"Amphianthus","amphianthus","SC(Lancaster)"
"Amphianthus pusillus","little amphianthus","SC(Lancaster)"
"Amphicarpaea","hogpeanut","SC(Anderson, Berkeley, Calhoun, Darlington, Dorchester, Lancaster, Lexington, McCormick, Oconee, Pickens, Spartanburg, Sumter, Union)"
"Amphicarpaea bracteata","American hogpeanut","SC(Anderson, Berkeley, Calhoun, Darlington, Dorchester, Lancaster, Lexington, McCormick, Oconee, Pickens, Spartanburg, Sumter, Union)"
"Amphicarpum","maidencane","SC(Georgetown, Horry, Orangeburg)"
"Amphicarpum muehlenbergianum","Muhlenberg maidencane","SC(Orangeburg)"
"Amphicarpum purshii","blue maidencane","SC(Georgetown, Horry)"
"Amsinckia","fiddleneck","SC(Berkeley)"
"Amsinckia menziesii","Menzies' fiddleneck","SC(Berkeley)"
"Amsinckia menziesii var. menziesii","Menzies' fiddleneck","SC(Berkeley)"
"Amsonia","bluestar","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Fairfield, Greenville, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Amsonia ciliata","fringed bluestar","SC(Aiken, Allendale, Barnwell, Calhoun, Chesterfield, Darlington, Dillon, Jasper, Kershaw, Lee, Lexington, Marion, Marlboro, Orangeburg, Richland, Saluda, Sumter)"
"Amsonia tabernaemontana","eastern bluestar","SC(Abbeville, Aiken, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Dorchester, Fairfield, Greenville, Jasper, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Amsonia tabernaemontana var. salicifolia","eastern bluestar","SC(Aiken, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Clarendon, Colleton, Darlington, Fairfield, Jasper, Kershaw, Lancaster, Laurens, McCormick, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Amsonia tabernaemontana var. tabernaemontana","eastern bluestar","SC(Abbeville, Aiken, Anderson, Barnwell, Cherokee, Darlington, Dorchester, Greenville, Lancaster, Laurens, Lexington, McCormick, Oconee, Pickens, York)"
"Anagallis","pimpernel","SC(Bamberg, Beaufort, Berkeley, Charleston, Colleton, Dorchester, Hampton, Jasper, Lee, Oconee, Orangeburg)"
"Anagallis arvensis","scarlet pimpernel","SC(Jasper)"
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","SC(Jasper)"
"Anagallis minima","chaffweed","SC(Bamberg, Beaufort, Berkeley, Charleston, Colleton, Dorchester, Hampton, Jasper, Lee, Oconee, Orangeburg)"
"Andropogon","bluestem","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Andropogon gerardii","big bluestem","SC(Aiken, Bamberg, Barnwell, Cherokee, Chesterfield, Clarendon, Colleton, Dillon, Georgetown, Jasper, Marlboro, McCormick, Oconee, Richland, Williamsburg)"
"Andropogon gyrans","Elliott's bluestem","SC(Allendale, Barnwell, Calhoun, Charleston, Dillon, Dorchester, Hampton, Kershaw, Lexington, Orangeburg, York)"
"Andropogon gyrans var. gyrans","Elliott's bluestem","SC(Allendale, Barnwell, Calhoun, Charleston, Dillon, Dorchester, Hampton, Kershaw, Lexington, Orangeburg, York)"
"Andropogon ternarius","splitbeard bluestem","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Greenwood, Jasper, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Andropogon ternarius var. ternarius","splitbeard bluestem","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Greenwood, Jasper, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, Williamsburg, York)"
"Andropogon virginicus","broomsedge bluestem","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Fairfield, Florence, Georgetown, Greenville, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, McCormick, Newberry, Orangeburg, Pickens, Richland, Saluda, Sumter, Union, Williamsburg)"
"Anemone","anemone","SC(Abbeville, Aiken, Anderson, Berkeley, Calhoun, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Edgefield, Greenville, Greenwood, Kershaw, Lancaster, Laurens, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Anemone caroliniana","Carolina anemone","SC(Greenville, Kershaw)"
"Anemone lancifolia","mountain thimbleweed","SC(Abbeville, Aiken, Chesterfield, Darlington, Edgefield, Kershaw, Lancaster, Laurens, Lexington, McCormick, Orangeburg, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Anemone virginiana","tall thimbleweed","SC(Abbeville, Anderson, Berkeley, Calhoun, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Greenwood, Kershaw, Lancaster, Lexington, McCormick, Oconee, Pickens, Sumter, Union, York)"
"Anemone virginiana var. virginiana","tall thimbleweed","SC(Abbeville, Anderson, Berkeley, Calhoun, Cherokee, Chesterfield, Clarendon, Darlington, Dorchester, Greenwood, Kershaw, Lancaster, Lexington, McCormick, Oconee, Pickens, Sumter, Union, York)"
"Aneura","","SC(Clarendon, Oconee, Pickens, Richland)"
"Aneura maxima","","SC(Oconee, Pickens)"
"Aneura pinguis","","SC(Clarendon, Richland)"
"Angelica","angelica","SC(Abbeville, Aiken, Anderson, Barnwell, Calhoun, Cherokee, Chester, Darlington, Edgefield, Fairfield, Greenville, Greenwood, Lancaster, Lexington, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Angelica venenosa","hairy angelica","SC(Abbeville, Aiken, Anderson, Barnwell, Calhoun, Cherokee, Chester, Darlington, Edgefield, Fairfield, Greenville, Greenwood, Lancaster, Lexington, McCormick, Newberry, Oconee, Pickens, Richland, Saluda, Spartanburg, Union, York)"
"Antennaria","pussytoes","SC(Abbeville, Aiken, Allendale, Berkeley, Cherokee, Chester, Darlington, Edgefield, Greenville, Greenwood, Kershaw, Lancaster, Laurens, McCormick, Newberry, Orangeburg, Pickens, Richland, Spartanburg, Union, York)"
"Antennaria parlinii","Parlin's pussytoes","SC(Aiken, Allendale, Cherokee, Darlington, Kershaw, Newberry, Orangeburg, Richland, Spartanburg, York)"
"Antennaria parlinii ssp. fallax","Parlin's pussytoes","SC(Aiken, Allendale, Cherokee, Darlington, Kershaw, Newberry, Orangeburg, Richland, Spartanburg, York)"
"Antennaria plantaginifolia","woman's tobacco","SC(Abbeville, Aiken, Berkeley, Cherokee, Chester, Darlington, Edgefield, Greenwood, Lancaster, Laurens, McCormick, Newberry, Pickens, Richland, Spartanburg, Union, York)"
"Antennaria solitaria","singlehead pussytoes","SC(Aiken, Cherokee, Greenville, Lancaster, Richland)"
"Anthaenantia","silkyscale","SC(Aiken, Allendale, Bamberg, Berkeley, Calhoun, Chesterfield, Colleton, Dillon, Edgefield, Georgetown, Kershaw, Lee, Lexington, Marion, Orangeburg, Richland, Sumter)"
"Anthaenantia rufa","purple silkyscale","SC(Bamberg, Chesterfield, Dillon, Georgetown)"
"Anthaenantia villosa","green silkyscale","SC(Aiken, Allendale, Bamberg, Berkeley, Calhoun, Chesterfield, Colleton, Edgefield, Kershaw, Lee, Lexington, Marion, Orangeburg, Richland, Sumter)"
"Anthemis","chamomile","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Colleton, Edgefield, Fairfield, Florence, Greenwood, Kershaw, Lancaster, Laurens, Lee, Marion, Marlboro, McCormick, Newberry, Oconee, Saluda, Spartanburg, Sumter, Union, York)"
"Anthemis arvensis","corn chamomile","SC(Allendale, Colleton, Lancaster, Laurens, McCormick, Newberry, Saluda, Sumter)"
"Anthemis cotula","stinking chamomile","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Berkeley, Charleston, Cherokee, Chester, Chesterfield, Colleton, Edgefield, Fairfield, Florence, Greenwood, Kershaw, Laurens, Lee, Marion, Marlboro, Newberry, Oconee, Spartanburg, Union, York)"
"Anthoxanthum","hornwort","SC(Abbeville, Anderson, Dillon, Greenwood, Laurens, Oconee, Richland, Spartanburg, Sumter, Union)"
"Anthoxanthum aristatum","annual vernalgrass","SC(Richland)"
"Anthoxanthum odoratum","sweet vernalgrass","SC(Abbeville, Anderson, Dillon, Greenwood, Laurens, Oconee, Richland, Spartanburg, Sumter, Union)"
"Anthoxanthum odoratum ssp. odoratum","sweet vernalgrass","SC(Abbeville, Anderson, Dillon, Greenwood, Laurens, Oconee, Richland, Spartanburg, Sumter, Union)"
"Anthriscus","chervil","SC(Charleston, Georgetown, Pickens)"
"Anthriscus caucalis","bur chervil","SC(Charleston, Georgetown, Pickens)"
"Aphanes","parsley piert","SC(Abbeville, Anderson, Berkeley, Cherokee, Chester, Darlington, Edgefield, Georgetown, Greenwood, Kershaw, Laurens, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Union, York)"
"Aphanes microcarpa","slender parsley piert","SC(Abbeville, Anderson, Berkeley, Cherokee, Chester, Darlington, Edgefield, Georgetown, Greenwood, Kershaw, Laurens, Lexington, McCormick, Oconee, Orangeburg, Pickens, Richland, Spartanburg, Union, York)"
"Apios","groundnut","SC(Abbeville, Aiken, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Colleton, Darlington, Dorchester, Georgetown, Hampton, Horry, Lancaster, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Williamsburg)"
"Apios americana","groundnut","SC(Abbeville, Aiken, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Colleton, Darlington, Dorchester, Georgetown, Hampton, Horry, Lancaster, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Williamsburg)"
"Apium","celery","SC(Charleston, Darlington)"
"Apium graveolens","wild celery","SC(Charleston, Darlington)"
"Apium graveolens var. dulce","wild celery","SC(Charleston, Darlington)"
"Apocynum","dogbane","SC(Abbeville, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Edgefield, Fairfield, Florence, Greenville, Greenwood, Hampton, Horry, Lancaster, Laurens, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Apocynum cannabinum","Indianhemp","SC(Abbeville, Anderson, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chester, Chesterfield, Colleton, Darlington, Edgefield, Fairfield, Florence, Greenville, Greenwood, Hampton, Horry, Lancaster, Laurens, Marion, Marlboro, McCormick, Newberry, Oconee, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Union, York)"
"Aquilegia","columbine","SC(Darlington, Greenville, Lancaster, York)"
"Aquilegia canadensis","red columbine","SC(Darlington, Greenville, Lancaster, York)"
"Arabidopsis","rockcress","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Edgefield, Florence, Greenville, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Williamsburg, York)"
"Arabidopsis thaliana","mouseear cress","SC(Abbeville, Aiken, Allendale, Bamberg, Barnwell, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Darlington, Dillon, Dorchester, Edgefield, Florence, Greenville, Greenwood, Hampton, Horry, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Newberry, Orangeburg, Pickens, Richland, Saluda, Spartanburg, Sumter, Williamsburg, York)"
"Arabis","rockcress","SC(Anderson, Chester, Greenville, Lancaster, McCormick, Oconee, York)"
"Arabis canadensis","sicklepod","SC(Anderson, Chester, Greenville, Lancaster, McCormick, Oconee, York)"
"Arabis missouriensis","green rockcress","SC(Lancaster)"
"Arachis","peanut","SC(Aiken, Richland)"
"Arachis hypogaea","peanut","SC(Aiken, Richland)"
"Aralia","spikenard","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Edgefield, Greenville, Hampton, Horry, Jasper, Laurens, Lee, Lexington, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Sumter, Union, York)"
"Aralia racemosa","American spikenard","SC(Greenville, Oconee, Pickens)"
"Aralia racemosa ssp. racemosa","American spikenard","SC(Greenville, Oconee, Pickens)"
"Aralia spinosa","devil's walkingstick","SC(Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Edgefield, Hampton, Horry, Jasper, Laurens, Lee, Lexington, Marlboro, Newberry, Oconee, Orangeburg, Pickens, Sumter, Union, York)"
"Arctium","burdock","SC(Oconee, Union)"
"Arctium minus","lesser burdock","SC(Oconee)"
"Arctium tomentosum","woolly burdock","SC(Union)"
"Arenaria","sandwort","SC(Abbeville, Bamberg, Beaufort, Calhoun, Charleston, Chester, Edgefield, Fairfield, Greenville, Greenwood, Jasper, Kershaw, Laurens, Lexington, McCormick, Richland, Spartanburg, Union)"
"Arenaria lanuginosa","spreading sandwort","SC(Beaufort, Jasper)"
"Arenaria lanuginosa ssp. lanuginosa","spreading sandwort","SC(Beaufort, Jasper)"
"Arenaria lanuginosa ssp. lanuginosa var. lanuginosa","spreading sandwort","SC(Beaufort, Jasper)"
"Arenaria serpyllifolia","thymeleaf sandwort","SC(Abbeville, Bamberg, Calhoun, Charleston, Chester, Edgefield, Fairfield, Greenville, Greenwood, Kershaw, Laurens, Lexington, McCormick, Richland, Spartanburg, Union)"
"Arethusa","dragon's mouth","SC(Greenville, Pickens)"
"Arethusa bulbosa","dragon's mouth","SC(Greenville, Pickens)"
"Argemone","pricklypoppy","SC(Allendale, Bamberg, Barnwell, Beaufort, Charleston, Chesterfield, Georgetown, Hampton, Horry, Jasper, Orangeburg, Richland, Saluda, Sumter)"
"Argemone albiflora","bluestem pricklypoppy","SC(Allendale, Bamberg, Beaufort, Charleston, Chesterfield, Hampton, Horry, Jasper, Orangeburg, Saluda, Sumter)"
"Argemone albiflora ssp. albiflora","bluestem pricklypoppy","SC(Allendale, Bamberg, Beaufort, Charleston, Chesterfield, Hampton, Horry, Jasper, Orangeburg, Saluda, Sumter)"
"Argemone mexicana","Mexican pricklypoppy","SC(Barnwell, Beaufort, Charleston, Georgetown, Richland)"
"Arisaema","Jack in the pulpit","SC(Abbeville, Aiken, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Dorchester, Edgefield, Florence, Georgetown, Hampton, Horry, Jasper, Lancaster, Laurens, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg)"
"Arisaema dracontium","green dragon","SC(Aiken, Allendale, Barnwell, Berkeley, Cherokee, Chesterfield, Edgefield, Lancaster, McCormick, Richland, Saluda, Sumter)"
"Arisaema triphyllum","Jack in the pulpit","SC(Abbeville, Allendale, Anderson, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Chesterfield, Clarendon, Colleton, Dorchester, Florence, Georgetown, Hampton, Horry, Jasper, Lancaster, Laurens, Lexington, Marlboro, McCormick, Oconee, Orangeburg, Pickens, Richland, Saluda, Williamsburg)"
"Aristida","threeawn","SC(Abbeville, Aiken, Allendale, Anderson, Bamberg, Barnwell, Beaufort, Berkeley, Calhoun, Charleston, Cherokee, Chesterfield, Clarendon, Colleton, Darlington, Dillon, Dorchester, Edgefield, Georgetown, Greenwood, Hampton, Horry, Jasper, Kershaw, Lancaster, Laurens, Lee, Lexington, Marion, Marlboro, McCormick, Orangeburg, Pickens, Richland, Saluda, Sumter, Williamsburg, York)"
