"","",""
"Abelia","abelia","FL(Franklin)"
"Aletris","colicroot","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Aletris ×tottenii","colicroot","FL(Alachua, Baker, Columbia, Duval, Flagler, Franklin, Leon, Liberty, Nassau, Wakulla)"
"Aletris aurea","golden colicroot","FL(Bay, Calhoun, Columbia, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Liberty, Nassau, Okaloosa, Santa Rosa, Walton, Washington)"
"Aletris bracteata","bracted colicroot","FL(Miami-Dade, Monroe)"
"Aletris farinosa","white colicroot","FL(Escambia, Jackson)"
"Aletris lutea","yellow colicroot","FL(Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Charlotte, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Flagler, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Jackson, Lake, Lee, Leon, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Seminole, St. Johns, Sumter, Union, Volusia, Wakulla, Walton, Washington)"
"Aletris obovata","southern colicroot","FL(Alachua, Baker, Bradford, Citrus, Clay, Columbia, Dixie, Duval, Flagler, Franklin, Gilchrist, Hamilton, Jefferson, Lafayette, Leon, Levy, Liberty, Madison, Marion, Nassau, Putnam, St. Johns, Taylor, Union, Wakulla)"
"Aleurites","aleurites","FL(Broward, Miami-Dade)"
"Aleurites moluccanus","Indian walnut","FL(Broward, Miami-Dade)"
"Aleurites moluccanus var. katoi","Indian walnut","FL(Broward, Miami-Dade)"
"Allamanda","allamanda","FL(Brevard, Charlotte, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Martin, Osceola, Palm Beach, Polk, St. Lucie)"
"Allamanda cathartica","golden trumpet","FL(Brevard, Charlotte, Highlands, Hillsborough, Indian River, Lake, Lee, Manatee, Martin, Osceola, Palm Beach, Polk, St. Lucie)"
"Allium","onion","FL(Alachua, Bay, Calhoun, Clay, Columbia, Duval, Escambia, Flagler, Franklin, Gadsden, Gulf, Hernando, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Marion, Nassau, Okaloosa, Orange, Pasco, Santa Rosa, St. Johns, Taylor, Volusia, Wakulla, Walton, Washington)"
"Allium canadense","meadow garlic","FL(Alachua, Bay, Calhoun, Clay, Columbia, Duval, Escambia, Franklin, Gadsden, Gulf, Hernando, Holmes, Jackson, Jefferson, Lake, Leon, Levy, Liberty, Marion, Okaloosa, Orange, Pasco, Santa Rosa, St. Johns, Taylor, Volusia, Wakulla, Walton, Washington)"
"Allium canadense var. canadense","meadow garlic","FL(Gulf)"
"Allium canadense var. mobilense","meadow garlic","FL(Alachua, Escambia, Franklin, Gadsden, Holmes, Jackson, Jefferson, Leon, Okaloosa, Santa Rosa, Wakulla, Walton, Washington)"
"Allium cuthbertii","striped garlic","FL(Duval, Flagler, Nassau, St. Johns)"
"Allium neapolitanum","white garlic","FL(Franklin)"
"Alloteropsis","summergrass","FL(Alachua, Columbia, Escambia, Santa Rosa)"
"Alloteropsis cimicina","summergrass","FL(Alachua, Columbia, Escambia, Santa Rosa)"
"Alnus","alder","FL(Alachua, Baker, Bay, Calhoun, Clay, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Nassau, Okaloosa, Putnam, Santa Rosa, St. Johns, Wakulla, Walton)"
"Alnus serrulata","hazel alder","FL(Alachua, Baker, Bay, Calhoun, Clay, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Nassau, Okaloosa, Putnam, Santa Rosa, St. Johns, Wakulla, Walton)"
"Alocasia","taro","FL(Broward, Indian River, Marion, Miami-Dade, Polk)"
"Alocasia macrorrhizos","giant taro","FL(Broward, Indian River, Marion, Miami-Dade, Polk)"
"Alocasia odora","Asian taro","FL(Marion, Miami-Dade)"
"Aloe","aloe","FL(Charlotte, Monroe)"
"Aloe vera","Barbados aloe","FL(Charlotte, Monroe)"
"Alopecurus","foxtail","FL(Escambia, Gadsden, Jackson, Leon, Liberty)"
"Alopecurus carolinianus","Carolina foxtail","FL(Escambia, Gadsden, Jackson, Leon, Liberty)"
"Alpinia","alpinia","FL(Brevard, Miami-Dade, Orange, Seminole, Volusia)"
"Alpinia zerumbet","shellplant","FL(Brevard, Miami-Dade, Orange, Seminole, Volusia)"
"Alstonia","alstonia","FL(Miami-Dade)"
"Alstonia macrophylla","deviltree","FL(Miami-Dade)"
"Alstroemeria","lily of the Incas","FL(Alachua, Duval, Escambia, Gadsden, Leon, Polk)"
"Alstroemeria pulchella","parrot-lily","FL(Alachua, Duval, Escambia, Gadsden, Leon, Polk)"
"Alternanthera","joyweed","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Duval, Escambia, Flagler, Franklin, Gilchrist, Glades, Gulf, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Orange, Palm Beach, Pasco, Pinellas, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Volusia, Wakulla, Walton)"
"Alternanthera bettzichiana","calicoplant","FL(Hillsborough, Lee)"
"Alternanthera brasiliana","Brazilian joyweed","FL(Lee, Sarasota)"
"Alternanthera caracasana","washerwoman","FL(Escambia, St. Johns)"
"Alternanthera ficoidea","sanguinaria","FL(Lee, Sarasota)"
"Alternanthera flavescens","yellow joyweed","FL(Brevard, Broward, Charlotte, Clay, Collier, Indian River, Lee, Manatee, Martin, Miami-Dade, Monroe, Palm Beach, Sarasota)"
"Alternanthera maritima","seaside joyweed","FL(Broward, Collier, Martin, Miami-Dade, Monroe, Palm Beach, St. Lucie)"
"Alternanthera paronychioides","smooth joyweed","FL(Escambia, Glades, Miami-Dade, Monroe, Palm Beach)"
"Alternanthera paronychioides var. paronychioides","smooth joyweed","FL(Escambia, Glades, Miami-Dade, Monroe, Palm Beach)"
"Alternanthera philoxeroides","alligatorweed","FL(Alachua, Baker, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Duval, Flagler, Franklin, Gilchrist, Glades, Gulf, Jackson, Lake, Leon, Marion, Miami-Dade, Okaloosa, Orange, Palm Beach, Pasco, Pinellas, Putnam, Seminole, St. Johns, Sumter, Volusia, Wakulla, Walton)"
"Alternanthera pungens","khakiweed","FL(Escambia)"
"Alternanthera sessilis","sessile joyweed","FL(Bay, Broward, Calhoun, Duval, Escambia, Flagler, Franklin, Glades, Gulf, Indian River, Lee, Leon, Manatee, Martin, Orange)"
"Alvaradoa","alvaradoa","FL(Miami-Dade)"
"Alvaradoa amorphoides","Mexican alvaradoa","FL(Miami-Dade)"
"Alvaradoa amorphoides ssp. psilophyllis","Mexican alvaradoa","FL(Miami-Dade)"
"Alysicarpus","moneywort","FL(Alachua, Brevard, Citrus, Clay, Collier, Columbia, Escambia, Franklin, Gadsden, Gilchrist, Hernando, Highlands, Hillsborough, Holmes, Jefferson, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, St. Lucie, Sumter, Volusia, Washington)"
"Alysicarpus ovalifolius","alyce clover","FL(Alachua, Brevard, Citrus, Clay, Collier, Columbia, Escambia, Franklin, Gadsden, Gilchrist, Hernando, Highlands, Hillsborough, Holmes, Jefferson, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Okeechobee, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, St. Lucie, Sumter, Volusia, Washington)"
"Alysicarpus rugosus","red moneywort","FL(Miami-Dade)"
"Alysicarpus vaginalis","white moneywort","FL(Collier, Miami-Dade, Monroe, Palm Beach)"
"Amaranthus","pigweed","FL(Alachua, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Volusia, Wakulla, Walton)"
"Amaranthus albus","prostrate pigweed","FL(Gadsden, Leon, Wakulla)"
"Amaranthus australis","southern amaranth","FL(Alachua, Bay, Brevard, Broward, Charlotte, Citrus, Collier, DeSoto, Dixie, Duval, Escambia, Franklin, Glades, Gulf, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Levy, Manatee, Marion, Miami-Dade, Monroe, Nassau, Orange, Palm Beach, Polk, Putnam, Sarasota, Sumter, Volusia)"
"Amaranthus blitum","purple amaranth","FL(Alachua, Collier, Duval, Franklin, Lake, Lee, Leon, Manatee, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Palm Beach, Pinellas, Putnam, Sarasota, Seminole)"
"Amaranthus blitum var. emarginatus","purple amaranth","FL(Alachua, Collier, Duval, Franklin, Lake, Lee, Leon, Manatee, Martin, Miami-Dade, Monroe, Okeechobee, Orange, Palm Beach, Pinellas, Putnam, Sarasota, Seminole)"
"Amaranthus cannabinus","tidalmarsh amaranth","FL(Duval)"
"Amaranthus caudatus","foxtail amaranth","FL(Alachua)"
"Amaranthus crassipes","spreading amaranth","FL(Monroe)"
"Amaranthus crassipes var. crassipes","spreading amaranth","FL(Monroe)"
"Amaranthus deflexus","largefruit amaranth","FL(Escambia)"
"Amaranthus dubius","spleen amaranth","FL(Monroe, Pinellas)"
"Amaranthus floridanus","Florida amaranth","FL(Alachua, Brevard, Charlotte, Duval, Lee, Manatee, Monroe, Pinellas, Sarasota)"
"Amaranthus hybridus","slim amaranth","FL(Alachua, Broward, Calhoun, Collier, Dixie, Franklin, Gadsden, Highlands, Hillsborough, Indian River, Jefferson, Lake, Lee, Leon, Liberty, Manatee, Marion, Miami-Dade, Monroe, Okaloosa, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Santa Rosa, Sumter, Suwannee, Volusia, Wakulla, Walton)"
"Amaranthus hypochondriacus","Prince-of-Wales feather","FL(Citrus)"
"Amaranthus palmeri","carelessweed","FL(Escambia, Gadsden, Jefferson, Leon, Nassau)"
"Amaranthus polygonoides","tropical amaranth","FL(Miami-Dade, Monroe)"
"Amaranthus retroflexus","redroot amaranth","FL(Glades, Lee)"
"Amaranthus spinosus","spiny amaranth","FL(Alachua, Brevard, Broward, Clay, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Gadsden, Gilchrist, Gulf, Hendry, Hernando, Highlands, Hillsborough, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Sumter, Volusia, Wakulla, Walton)"
"Amaranthus viridis","slender amaranth","FL(Alachua, Bradford, Collier, DeSoto, Escambia, Franklin, Gadsden, Hardee, Hernando, Highlands, Hillsborough, Lake, Lee, Leon, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, St. Johns, Wakulla)"
"Ambrosia","ragweed","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Ambrosia artemisiifolia","annual ragweed","FL(Alachua, Brevard, Broward, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gilchrist, Glades, Hamilton, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Ambrosia hispida","coastal ragweed","FL(Brevard, Collier, Lee, Miami-Dade, Monroe)"
"Ambrosia psilostachya","Cuman ragweed","FL(Citrus, Gilchrist, Jackson, Lafayette, Madison, Okaloosa, Santa Rosa, Suwannee, Wakulla, Washington)"
"Ambrosia trifida","great ragweed","FL(Clay, Escambia, Franklin, Gadsden, Jackson, Jefferson, Leon, Marion)"
"Ambrosia trifida var. trifida","great ragweed","FL(Clay, Escambia, Franklin, Gadsden, Jackson, Jefferson, Leon, Marion)"
"Amelanchier","serviceberry","FL(Bay, Calhoun, Escambia, Holmes, Jackson, Leon, Liberty, Okaloosa, Santa Rosa, Walton, Washington)"
"Amelanchier arborea","common serviceberry","FL(Bay, Calhoun, Escambia, Holmes, Jackson, Leon, Liberty, Okaloosa, Santa Rosa, Walton, Washington)"
"Amelanchier arborea var. arborea","common serviceberry","FL(Bay, Calhoun, Escambia, Holmes, Jackson, Leon, Liberty, Okaloosa, Santa Rosa, Walton, Washington)"
"Amianthium","amianthium","FL(Bay, Calhoun, Gadsden, Holmes, Leon, Liberty, Okaloosa, Santa Rosa, Wakulla, Walton, Washington)"
"Amianthium muscitoxicum","flypoison","FL(Bay, Calhoun, Gadsden, Holmes, Leon, Liberty, Okaloosa, Santa Rosa, Wakulla, Walton, Washington)"
"Ammannia","redstem","FL(Alachua, Bay, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Dixie, Duval, Escambia, Flagler, Franklin, Glades, Hardee, Hendry, Indian River, Jackson, Lee, Leon, Liberty, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Pasco, Pinellas, Polk, Sarasota, Seminole, St. Johns, Sumter, Taylor, Volusia, Wakulla)"
"Ammannia coccinea","valley redstem","FL(Alachua, Calhoun, Citrus, Dixie, Duval, Franklin, Jackson, Leon, Liberty, Manatee, Miami-Dade, Monroe, Pinellas, Polk, St. Johns, Sumter, Taylor)"
"Ammannia latifolia","pink redstem","FL(Bay, Brevard, Broward, Charlotte, Clay, Collier, Dixie, Escambia, Flagler, Franklin, Glades, Hardee, Hendry, Indian River, Lee, Manatee, Marion, Martin, Miami-Dade, Monroe, Okeechobee, Pasco, Pinellas, Sarasota, Seminole, Sumter, Taylor, Volusia, Wakulla)"
"Ammi","ammi","FL(Alachua, Escambia, Leon, Palm Beach)"
"Ammi majus","large bullwort","FL(Alachua, Leon, Palm Beach)"
"Ammi visnaga","toothpickweed","FL(Escambia)"
"Amorpha","false indigo","FL(Alachua, Bay, Bradford, Brevard, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Miami-Dade, Nassau, Okaloosa, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Amorpha fruticosa","false indigo bush","FL(Alachua, Bay, Bradford, Brevard, Calhoun, Citrus, Clay, Collier, Columbia, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Manatee, Marion, Martin, Nassau, Okaloosa, Orange, Palm Beach, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla, Walton, Washington)"
"Amorpha herbacea","clusterspike false indigo","FL(Bradford, Citrus, Clay, Collier, Dixie, Franklin, Gulf, Hamilton, Hernando, Highlands, Hillsborough, Lake, Lee, Levy, Manatee, Marion, Miami-Dade, Nassau, Pasco, Pinellas, Polk)"
"Amorpha herbacea var. crenulata","clusterspike false indigo","FL(Miami-Dade)"
"Ampelaster","climbing aster","FL(Alachua, Brevard, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Franklin, Gilchrist, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla)"
"Ampelaster carolinianus","climbing aster","FL(Alachua, Brevard, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Franklin, Gilchrist, Hardee, Hendry, Hernando, Highlands, Hillsborough, Indian River, Lake, Lee, Leon, Levy, Manatee, Marion, Martin, Miami-Dade, Monroe, Osceola, Pasco, Pinellas, Polk, Putnam, Sarasota, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, Wakulla)"
"Ampelopsis","peppervine","FL(Gadsden, Jackson, Leon, Liberty)"
"Ampelopsis cordata","heartleaf peppervine","FL(Gadsden, Jackson, Leon, Liberty)"
"Amphicarpaea","hogpeanut","FL(Alachua, Citrus, Columbia, Gadsden, Jackson, Jefferson, Leon, Union)"
"Amphicarpaea bracteata","American hogpeanut","FL(Alachua, Citrus, Columbia, Gadsden, Jackson, Jefferson, Leon, Union)"
"Amphicarpaea bracteata var. bracteata","American hogpeanut","FL(Alachua, Citrus, Columbia, Gadsden, Jackson, Jefferson, Leon, Union)"
"Amphicarpum","maidencane","FL(Alachua, Bradford, Broward, Charlotte, Collier, Columbia, Duval, Escambia, Flagler, Franklin, Glades, Gulf, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Manatee, Martin, Miami-Dade, Nassau, Okaloosa, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Taylor, Union, Volusia, Wakulla, Washington)"
"Amphicarpum muehlenbergianum","Muhlenberg maidencane","FL(Alachua, Bradford, Broward, Charlotte, Collier, Columbia, Duval, Escambia, Flagler, Franklin, Glades, Gulf, Hendry, Hernando, Highlands, Hillsborough, Indian River, Jackson, Lake, Lee, Leon, Manatee, Martin, Miami-Dade, Nassau, Okaloosa, Orange, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, Taylor, Union, Volusia, Wakulla, Washington)"
"Amphitecna","amphitecna","FL(Miami-Dade, Palm Beach)"
"Amphitecna latifolia","black calabash","FL(Miami-Dade, Palm Beach)"
"Amsonia","bluestar","FL(Alachua, Bradford, Calhoun, Citrus, Clay, Columbia, Dixie, Escambia, Franklin, Gadsden, Gulf, Hernando, Highlands, Hillsborough, Holmes, Jackson, Lake, Leon, Levy, Liberty, Madison, Marion, Okaloosa, Orange, Pasco, Polk, Santa Rosa, Sumter, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Amsonia ciliata","fringed bluestar","FL(Alachua, Calhoun, Citrus, Clay, Escambia, Franklin, Gadsden, Hernando, Highlands, Hillsborough, Jackson, Lake, Leon, Levy, Liberty, Marion, Okaloosa, Orange, Pasco, Polk, Santa Rosa, Sumter, Suwannee, Taylor, Wakulla, Walton, Washington)"
"Amsonia tabernaemontana","eastern bluestar","FL(Alachua, Bradford, Columbia, Dixie, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Leon, Levy, Madison, Wakulla, Washington)"
"Amsonia tabernaemontana var. tabernaemontana","eastern bluestar","FL(Alachua, Bradford, Columbia, Dixie, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Leon, Levy, Madison, Wakulla, Washington)"
"Amyris","torchwood","FL(Brevard, Broward, Flagler, Indian River, Martin, Miami-Dade, Monroe, Palm Beach, St. Lucie, Volusia)"
"Amyris balsamifera","balsam torchwood","FL(Miami-Dade, Monroe)"
"Amyris elemifera","sea torchwood","FL(Brevard, Broward, Flagler, Indian River, Martin, Miami-Dade, Monroe, Palm Beach, St. Lucie, Volusia)"
"Anagallis","pimpernel","FL(Alachua, Bradford, Calhoun, Charlotte, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Glades, Hernando, Highlands, Hillsborough, Jackson, Lee, Levy, Manatee, Marion, Miami-Dade, Okaloosa, Orange, Osceola, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, Sumter, Union, Walton)"
"Anagallis arvensis","scarlet pimpernel","FL(Alachua, Calhoun, Escambia, Marion, Miami-Dade, Okaloosa, Orange)"
"Anagallis arvensis ssp. arvensis","scarlet pimpernel","FL(Alachua, Calhoun, Escambia, Marion, Miami-Dade, Okaloosa, Orange)"
"Anagallis minima","chaffweed","FL(Alachua, Bradford, Charlotte, Collier, Columbia, DeSoto, Duval, Escambia, Franklin, Glades, Hernando, Jackson, Lee, Levy, Manatee, Marion, Orange, Osceola, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, Sumter, Union, Walton)"
"Anagallis pumila","Florida pimpernel","FL(Collier, Highlands, Hillsborough, Lee)"
"Andropogon","bluestem","FL(Alachua, Baker, Bay, Bradford, Brevard, Broward, Calhoun, Charlotte, Citrus, Clay, Collier, Columbia, DeSoto, Dixie, Duval, Escambia, Flagler, Franklin, Gadsden, Gilchrist, Glades, Gulf, Hamilton, Hardee, Hendry, Hernando, Highlands, Hillsborough, Holmes, Indian River, Jackson, Jefferson, Lafayette, Lake, Lee, Leon, Levy, Liberty, Madison, Manatee, Marion, Martin, Miami-Dade, Monroe, Nassau, Okaloosa, Okeechobee, Orange, Osceola, Palm Beach, Pasco, Pinellas, Polk, Putnam, Santa Rosa, Sarasota, Seminole, St. Johns, St. Lucie, Sumter, Suwannee, Taylor, Volusia, Wakulla, Walton, Washington)"
